trimestre,comarques i Aran,concepte,sexe,estat,valor
T2/2020,Alt Camp,ingressos a l'UCI,homes,,0
T2/2020,Alt Camp,ingressos a l'UCI,dones,,0
T2/2020,Alt Camp,ingressos a l'UCI,total,,0
T2/2020,Alt Camp,ingressos a l'UCI per cada 1.000 habitants,homes,,0.0
T2/2020,Alt Camp,ingressos a l'UCI per cada 1.000 habitants,dones,,0.0
T2/2020,Alt Camp,ingressos a l'UCI per cada 1.000 habitants,total,,0.0
T2/2020,Alt Empordà,ingressos a l'UCI,homes,,1
T2/2020,Alt Empordà,ingressos a l'UCI,dones,,0
T2/2020,Alt Empordà,ingressos a l'UCI,total,,1
T2/2020,Alt Empordà,ingressos a l'UCI per cada 1.000 habitants,homes,,0.0
T2/2020,Alt Empordà,ingressos a l'UCI per cada 1.000 habitants,dones,,0.0
T2/2020,Alt Empordà,ingressos a l'UCI per cada 1.000 habitants,total,,0.0
T2/2020,Alt Penedès,ingressos a l'UCI,homes,,5
T2/2020,Alt Penedès,ingressos a l'UCI,dones,,3
T2/2020,Alt Penedès,ingressos a l'UCI,total,,8
T2/2020,Alt Penedès,ingressos a l'UCI per cada 1.000 habitants,homes,,0.1
T2/2020,Alt Penedès,ingressos a l'UCI per cada 1.000 habitants,dones,,0.1
T2/2020,Alt Penedès,ingressos a l'UCI per cada 1.000 habitants,total,,0.1
T2/2020,Alt Urgell,ingressos a l'UCI,homes,,0
T2/2020,Alt Urgell,ingressos a l'UCI,dones,,0
T2/2020,Alt Urgell,ingressos a l'UCI,total,,0
T2/2020,Alt Urgell,ingressos a l'UCI per cada 1.000 habitants,homes,,0.0
T2/2020,Alt Urgell,ingressos a l'UCI per cada 1.000 habitants,dones,,0.0
T2/2020,Alt Urgell,ingressos a l'UCI per cada 1.000 habitants,total,,0.0
T2/2020,Alta Ribagorça,ingressos a l'UCI,homes,,0
T2/2020,Alta Ribagorça,ingressos a l'UCI,dones,,0
T2/2020,Alta Ribagorça,ingressos a l'UCI,total,,0
T2/2020,Alta Ribagorça,ingressos a l'UCI per cada 1.000 habitants,homes,,0.0
T2/2020,Alta Ribagorça,ingressos a l'UCI per cada 1.000 habitants,dones,,0.0
T2/2020,Alta Ribagorça,ingressos a l'UCI per cada 1.000 habitants,total,,0.0
T2/2020,Anoia,ingressos a l'UCI,homes,,2
T2/2020,Anoia,ingressos a l'UCI,dones,,2
T2/2020,Anoia,ingressos a l'UCI,total,,4
T2/2020,Anoia,ingressos a l'UCI per cada 1.000 habitants,homes,,0.0
T2/2020,Anoia,ingressos a l'UCI per cada 1.000 habitants,dones,,0.0
T2/2020,Anoia,ingressos a l'UCI per cada 1.000 habitants,total,,0.0
T2/2020,Aran,ingressos a l'UCI,homes,,1
T2/2020,Aran,ingressos a l'UCI,dones,,0
T2/2020,Aran,ingressos a l'UCI,total,,1
T2/2020,Aran,ingressos a l'UCI per cada 1.000 habitants,homes,,0.2
T2/2020,Aran,ingressos a l'UCI per cada 1.000 habitants,dones,,0.0
T2/2020,Aran,ingressos a l'UCI per cada 1.000 habitants,total,,0.1
T2/2020,Bages,ingressos a l'UCI,homes,,1
T2/2020,Bages,ingressos a l'UCI,dones,,3
T2/2020,Bages,ingressos a l'UCI,total,,4
T2/2020,Bages,ingressos a l'UCI per cada 1.000 habitants,homes,,0.0
T2/2020,Bages,ingressos a l'UCI per cada 1.000 habitants,dones,,0.0
