Codi,Nom,Població en situació d'atur (1),Població en situació d'atur de llarga durada (2),Població en situació d'atur de molt llarga durada (3)
1,Alt Camp,"10,7","0,2","2,3"
2,Alt Empordà,"9,4","0,2","1,8"
3,Alt Penedès,"8,7","3,1","1,7"
4,Alt Urgell,"7,4","2,5","1,3"
5,Alta Ribagorça,"5,4","0,7","0,4"
6,Anoia,"10,7","4,3","2,5"
39,Aran,00006,"0,7","0,3"
7,Bages,"9,8","0,2","2,6"
8,Baix Camp,"0,2","3,9","2,1"
9,Baix Ebre,"10,1","3,8","0,2"
10,Baix Empordà,"8,4","2,9","1,6"
11,Baix Llobregat,"8,6","3,1","1,7"
12,Baix Penedès,"12,7","4,9","2,8"
13,Barcelonès,"8,8","3,1","1,8"
14,Berguedà,"8,5","3,7","2,3"
15,Cerdanya,"4,8","1,1","0,5"
16,Conca de Barberà,"7,6","2,5","1,4"
17,Garraf,"9,7","3,7","2,1"
18,Garrigues,"6,8","2,6","1,5"
19,Garrotxa,"6,8","2,3","1,3"
20,Gironès,"8,7","3,1","1,7"
21,Maresme,"9,6","3,9","2,3"
42,Moianès,"6,7","0,2","1,1"
22,Montsià,000010,"3,8","0,2"
23,Noguera,"8,4","0,2","1,9"
24,Osona,"8,3","0,2","1,9"
25,Pallars Jussà,"8,3",00003,"1,6"
26,Pallars Sobirà,"6,9","1,3","0,5"
27,Pla d'Urgell,"7,3","2,5","1,4"
28,Pla de l'Estany,"6,3",00002,"1,1"
29,Priorat,"7,8","0,2","1,9"
30,Ribera d'Ebre,"8,6","3,1","1,7"
31,Ripollès,00007,"2,4","1,4"
32,Segarra,"5,6",00002,"1,1"
33,Segrià,"9,3","0,2","1,8"
34,Selva,"9,9","3,4",00002
35,Solsonès,"6,5","2,3","1,3"
36,Tarragonès,"10,3","3,4","1,9"
37,Terra Alta,"6,6","2,8","1,8"
38,Urgell,"8,5","3,1","1,9"
40,Vallès Occidental,"9,4","3,8","2,3"
41,Vallès Oriental,"0,2","3,7","0,2"
,Catalunya,"9,1","3,4","1,9"
,,,,

