trimestre,comarques i Aran,concepte,sexe,estat,valor
T1/2020,Alt Camp,casos confirmats,homes,,36
T1/2020,Alt Camp,casos confirmats,dones,,39
T1/2020,Alt Camp,casos confirmats,total,,75
T1/2020,Alt Camp,casos per cada 100 habitants,homes,,0.2
T1/2020,Alt Camp,casos per cada 100 habitants,dones,,0.2
T1/2020,Alt Camp,casos per cada 100 habitants,total,,0.2
T1/2020,Alt Empordà,casos confirmats,homes,,79
T1/2020,Alt Empordà,casos confirmats,dones,,66
T1/2020,Alt Empordà,casos confirmats,total,,145
T1/2020,Alt Empordà,casos per cada 100 habitants,homes,,0.1
T1/2020,Alt Empordà,casos per cada 100 habitants,dones,,0.1
T1/2020,Alt Empordà,casos per cada 100 habitants,total,,0.1
T1/2020,Alt Penedès,casos confirmats,homes,,90
T1/2020,Alt Penedès,casos confirmats,dones,,97
T1/2020,Alt Penedès,casos confirmats,total,,187
T1/2020,Alt Penedès,casos per cada 100 habitants,homes,,0.2
T1/2020,Alt Penedès,casos per cada 100 habitants,dones,,0.2
T1/2020,Alt Penedès,casos per cada 100 habitants,total,,0.2
T1/2020,Alt Urgell,casos confirmats,homes,,19
T1/2020,Alt Urgell,casos confirmats,dones,,13
T1/2020,Alt Urgell,casos confirmats,total,,32
T1/2020,Alt Urgell,casos per cada 100 habitants,homes,,0.2
T1/2020,Alt Urgell,casos per cada 100 habitants,dones,,0.1
T1/2020,Alt Urgell,casos per cada 100 habitants,total,,0.2
T1/2020,Alta Ribagorça,casos confirmats,homes,,2
T1/2020,Alta Ribagorça,casos confirmats,dones,,2
T1/2020,Alta Ribagorça,casos confirmats,total,,4
T1/2020,Alta Ribagorça,casos per cada 100 habitants,homes,,0.1
T1/2020,Alta Ribagorça,casos per cada 100 habitants,dones,,0.1
T1/2020,Alta Ribagorça,casos per cada 100 habitants,total,,0.1
T1/2020,Anoia,casos confirmats,homes,,374
T1/2020,Anoia,casos confirmats,dones,,433
T1/2020,Anoia,casos confirmats,total,,807
