trimestre,municipis,concepte,sexe,estat,valor
T1/2020,Abrera,casos confirmats,homes,,16
T1/2020,Abrera,casos confirmats,dones,,17
T1/2020,Abrera,casos confirmats,total,,33
T1/2020,Abrera,casos per cada 100 habitants,homes,,0.3
T1/2020,Abrera,casos per cada 100 habitants,dones,,0.3
T1/2020,Abrera,casos per cada 100 habitants,total,,0.3
T1/2020,Àger,casos confirmats,homes,,17
T1/2020,Àger,casos confirmats,dones,,19
T1/2020,Àger,casos confirmats,total,,36
T1/2020,Àger,casos per cada 100 habitants,homes,,5.4
T1/2020,Àger,casos per cada 100 habitants,dones,,7.1
T1/2020,Àger,casos per cada 100 habitants,total,,6.2
T1/2020,Agramunt,casos confirmats,homes,..,null
T1/2020,Agramunt,casos confirmats,dones,..,null
T1/2020,Agramunt,casos confirmats,total,,7
T1/2020,Agramunt,casos per cada 100 habitants,homes,..,null
T1/2020,Agramunt,casos per cada 100 habitants,dones,..,null
T1/2020,Agramunt,casos per cada 100 habitants,total,,0.1
T1/2020,Aguilar de Segarra,casos confirmats,homes,,0
T1/2020,Aguilar de Segarra,casos confirmats,dones,,0
T1/2020,Aguilar de Segarra,casos confirmats,total,,0
T1/2020,Aguilar de Segarra,casos per cada 100 habitants,homes,,0.0
T1/2020,Aguilar de Segarra,casos per cada 100 habitants,dones,,0.0
T1/2020,Aguilar de Segarra,casos per cada 100 habitants,total,,0.0
T1/2020,Agullana,casos confirmats,homes,..,null
T1/2020,Agullana,casos confirmats,dones,..,null
T1/2020,Agullana,casos confirmats,total,..,null
T1/2020,Agullana,casos per cada 100 habitants,homes,..,null
T1/2020,Agullana,casos per cada 100 habitants,dones,..,null
T1/2020,Agullana,casos per cada 100 habitants,total,..,null
T1/2020,Aiguafreda,casos confirmats,homes,..,null
T1/2020,Aiguafreda,casos confirmats,dones,..,null
T1/2020,Aiguafreda,casos confirmats,total,,10
T1/2020,Aiguafreda,casos per cada 100 habitants,homes,..,null
T1/2020,Aiguafreda,casos per cada 100 habitants,dones,..,null
T1/2020,Aiguafreda,casos per cada 100 habitants,total,,0.4
T1/2020,Aiguamúrcia,casos confirmats,homes,..,null
T1/2020,Aiguamúrcia,casos confirmats,dones,..,null
T1/2020,Aiguamúrcia,casos confirmats,total,..,null
T1/2020,Aiguamúrcia,casos per cada 100 habitants,homes,..,null
T1/2020,Aiguamúrcia,casos per cada 100 habitants,dones,..,null
T1/2020,Aiguamúrcia,casos per cada 100 habitants,total,..,null
T1/2020,Aiguaviva,casos confirmats,homes,..,null
T1/2020,Aiguaviva,casos confirmats,dones,..,null
T1/2020,Aiguaviva,casos confirmats,total,,4
T1/2020,Aiguaviva,casos per cada 100 habitants,homes,..,null
T1/2020,Aiguaviva,casos per cada 100 habitants,dones,..,null
T1/2020,Aiguaviva,casos per cada 100 habitants,total,,0.5
T1/2020,Aitona,casos confirmats,homes,..,null
T1/2020,Aitona,casos confirmats,dones,..,null
T1/2020,Aitona,casos confirmats,total,,7
T1/2020,Aitona,casos per cada 100 habitants,homes,..,null
T1/2020,Aitona,casos per cada 100 habitants,dones,..,null
T1/2020,Aitona,casos per cada 100 habitants,total,,0.3
T1/2020,"Alamús, els",casos confirmats,homes,..,null
T1/2020,"Alamús, els",casos confirmats,dones,..,null
T1/2020,"Alamús, els",casos confirmats,total,..,null
T1/2020,"Alamús, els",casos per cada 100 habitants,homes,..,null
T1/2020,"Alamús, els",casos per cada 100 habitants,dones,..,null
T1/2020,"Alamús, els",casos per cada 100 habitants,total,..,null
T1/2020,Alàs i Cerc,casos confirmats,homes,,0
T1/2020,Alàs i Cerc,casos confirmats,dones,,0
T1/2020,Alàs i Cerc,casos confirmats,total,,0
T1/2020,Alàs i Cerc,casos per cada 100 habitants,homes,,0.0
T1/2020,Alàs i Cerc,casos per cada 100 habitants,dones,,0.0
T1/2020,Alàs i Cerc,casos per cada 100 habitants,total,,0.0
T1/2020,"Albagés, l'",casos confirmats,homes,,0
T1/2020,"Albagés, l'",casos confirmats,dones,,0
T1/2020,"Albagés, l'",casos confirmats,total,,0
T1/2020,"Albagés, l'",casos per cada 100 habitants,homes,,0.0
T1/2020,"Albagés, l'",casos per cada 100 habitants,dones,,0.0
T1/2020,"Albagés, l'",casos per cada 100 habitants,total,,0.0
T1/2020,Albatàrrec,casos confirmats,homes,..,null
T1/2020,Albatàrrec,casos confirmats,dones,..,null
T1/2020,Albatàrrec,casos confirmats,total,,5
T1/2020,Albatàrrec,casos per cada 100 habitants,homes,..,null
T1/2020,Albatàrrec,casos per cada 100 habitants,dones,..,null
T1/2020,Albatàrrec,casos per cada 100 habitants,total,,0.2
T1/2020,Albesa,casos confirmats,homes,,0
T1/2020,Albesa,casos confirmats,dones,,0
T1/2020,Albesa,casos confirmats,total,,0
T1/2020,Albesa,casos per cada 100 habitants,homes,,0.0
T1/2020,Albesa,casos per cada 100 habitants,dones,,0.0
T1/2020,Albesa,casos per cada 100 habitants,total,,0.0
T1/2020,"Albi, l'",casos confirmats,homes,,0
T1/2020,"Albi, l'",casos confirmats,dones,,0
T1/2020,"Albi, l'",casos confirmats,total,,0
T1/2020,"Albi, l'",casos per cada 100 habitants,homes,,0.0
T1/2020,"Albi, l'",casos per cada 100 habitants,dones,,0.0
T1/2020,"Albi, l'",casos per cada 100 habitants,total,,0.0
T1/2020,Albinyana,casos confirmats,homes,..,null
T1/2020,Albinyana,casos confirmats,dones,..,null
T1/2020,Albinyana,casos confirmats,total,,6
T1/2020,Albinyana,casos per cada 100 habitants,homes,..,null
T1/2020,Albinyana,casos per cada 100 habitants,dones,..,null
T1/2020,Albinyana,casos per cada 100 habitants,total,,0.2
T1/2020,"Albiol, l'",casos confirmats,homes,,0
T1/2020,"Albiol, l'",casos confirmats,dones,,0
T1/2020,"Albiol, l'",casos confirmats,total,,0
T1/2020,"Albiol, l'",casos per cada 100 habitants,homes,,0.0
T1/2020,"Albiol, l'",casos per cada 100 habitants,dones,,0.0
T1/2020,"Albiol, l'",casos per cada 100 habitants,total,,0.0
T1/2020,Albons,casos confirmats,homes,..,null
T1/2020,Albons,casos confirmats,dones,..,null
T1/2020,Albons,casos confirmats,total,..,null
T1/2020,Albons,casos per cada 100 habitants,homes,..,null
T1/2020,Albons,casos per cada 100 habitants,dones,..,null
T1/2020,Albons,casos per cada 100 habitants,total,..,null
T1/2020,Alcanar,casos confirmats,homes,,0
T1/2020,Alcanar,casos confirmats,dones,,4
T1/2020,Alcanar,casos confirmats,total,,4
T1/2020,Alcanar,casos per cada 100 habitants,homes,,0.0
T1/2020,Alcanar,casos per cada 100 habitants,dones,,0.1
T1/2020,Alcanar,casos per cada 100 habitants,total,,0.0
T1/2020,Alcanó,casos confirmats,homes,..,null
T1/2020,Alcanó,casos confirmats,dones,..,null
T1/2020,Alcanó,casos confirmats,total,..,null
T1/2020,Alcanó,casos per cada 100 habitants,homes,..,null
T1/2020,Alcanó,casos per cada 100 habitants,dones,..,null
T1/2020,Alcanó,casos per cada 100 habitants,total,..,null
T1/2020,Alcarràs,casos confirmats,homes,,8
T1/2020,Alcarràs,casos confirmats,dones,,6
T1/2020,Alcarràs,casos confirmats,total,,14
T1/2020,Alcarràs,casos per cada 100 habitants,homes,,0.2
T1/2020,Alcarràs,casos per cada 100 habitants,dones,,0.1
T1/2020,Alcarràs,casos per cada 100 habitants,total,,0.1
T1/2020,Alcoletge,casos confirmats,homes,,6
T1/2020,Alcoletge,casos confirmats,dones,,0
T1/2020,Alcoletge,casos confirmats,total,,6
T1/2020,Alcoletge,casos per cada 100 habitants,homes,,0.3
T1/2020,Alcoletge,casos per cada 100 habitants,dones,,0.0
T1/2020,Alcoletge,casos per cada 100 habitants,total,,0.2
T1/2020,Alcover,casos confirmats,homes,..,null
T1/2020,Alcover,casos confirmats,dones,..,null
T1/2020,Alcover,casos confirmats,total,..,null
T1/2020,Alcover,casos per cada 100 habitants,homes,..,null
T1/2020,Alcover,casos per cada 100 habitants,dones,..,null
T1/2020,Alcover,casos per cada 100 habitants,total,..,null
T1/2020,"Aldea, l'",casos confirmats,homes,..,null
T1/2020,"Aldea, l'",casos confirmats,dones,..,null
T1/2020,"Aldea, l'",casos confirmats,total,,4
T1/2020,"Aldea, l'",casos per cada 100 habitants,homes,..,null
T1/2020,"Aldea, l'",casos per cada 100 habitants,dones,..,null
T1/2020,"Aldea, l'",casos per cada 100 habitants,total,,0.1
T1/2020,Aldover,casos confirmats,homes,..,null
T1/2020,Aldover,casos confirmats,dones,..,null
T1/2020,Aldover,casos confirmats,total,..,null
T1/2020,Aldover,casos per cada 100 habitants,homes,..,null
T1/2020,Aldover,casos per cada 100 habitants,dones,..,null
T1/2020,Aldover,casos per cada 100 habitants,total,..,null
T1/2020,"Aleixar, l'",casos confirmats,homes,..,null
T1/2020,"Aleixar, l'",casos confirmats,dones,..,null
T1/2020,"Aleixar, l'",casos confirmats,total,..,null
T1/2020,"Aleixar, l'",casos per cada 100 habitants,homes,..,null
T1/2020,"Aleixar, l'",casos per cada 100 habitants,dones,..,null
T1/2020,"Aleixar, l'",casos per cada 100 habitants,total,..,null
T1/2020,Alella,casos confirmats,homes,,15
T1/2020,Alella,casos confirmats,dones,,13
T1/2020,Alella,casos confirmats,total,,28
T1/2020,Alella,casos per cada 100 habitants,homes,,0.3
T1/2020,Alella,casos per cada 100 habitants,dones,,0.3
T1/2020,Alella,casos per cada 100 habitants,total,,0.3
T1/2020,Alfara de Carles,casos confirmats,homes,,0
T1/2020,Alfara de Carles,casos confirmats,dones,,0
T1/2020,Alfara de Carles,casos confirmats,total,,0
T1/2020,Alfara de Carles,casos per cada 100 habitants,homes,,0.0
T1/2020,Alfara de Carles,casos per cada 100 habitants,dones,,0.0
