mes,municipis,concepte,estat,valor
03/2020,Abrera,casos confirmats,,33
03/2020,Àger,casos confirmats,,36
03/2020,Agramunt,casos confirmats,,7
03/2020,Aguilar de Segarra,casos confirmats,,0
03/2020,Agullana,casos confirmats,..,null
03/2020,Aiguafreda,casos confirmats,,10
03/2020,Aiguamúrcia,casos confirmats,..,null
03/2020,Aiguaviva,casos confirmats,,4
03/2020,Aitona,casos confirmats,,7
03/2020,"Alamús, els",casos confirmats,..,null
03/2020,Alàs i Cerc,casos confirmats,,0
03/2020,"Albagés, l'",casos confirmats,,0
03/2020,Albatàrrec,casos confirmats,,5
03/2020,Albesa,casos confirmats,,0
03/2020,"Albi, l'",casos confirmats,,0
03/2020,Albinyana,casos confirmats,,6
03/2020,"Albiol, l'",casos confirmats,,0
03/2020,Albons,casos confirmats,..,null
03/2020,Alcanar,casos confirmats,,4
03/2020,Alcanó,casos confirmats,..,null
03/2020,Alcarràs,casos confirmats,,14
03/2020,Alcoletge,casos confirmats,,6
03/2020,Alcover,casos confirmats,..,null
03/2020,"Aldea, l'",casos confirmats,,4
03/2020,Aldover,casos confirmats,..,null
03/2020,"Aleixar, l'",casos confirmats,..,null
03/2020,Alella,casos confirmats,,28
03/2020,Alfara de Carles,casos confirmats,,0
03/2020,Alfarràs,casos confirmats,,5
03/2020,Alfés,casos confirmats,,0
03/2020,Alforja,casos confirmats,..,null
03/2020,Algerri,casos confirmats,,0
03/2020,Alguaire,casos confirmats,,7
03/2020,Alins,casos confirmats,,0
03/2020,Alió,casos confirmats,,0
03/2020,Almacelles,casos confirmats,,6
03/2020,Almatret,casos confirmats,,0
03/2020,Almenar,casos confirmats,,9
03/2020,Almoster,casos confirmats,,4
03/2020,Alp,casos confirmats,..,null
03/2020,Alpens,casos confirmats,,0
03/2020,Alpicat,casos confirmats,,12
03/2020,Alt Àneu,casos confirmats,..,null
03/2020,Altafulla,casos confirmats,,4
03/2020,Amer,casos confirmats,..,null
03/2020,"Ametlla de Mar, l'",casos confirmats,..,null
03/2020,"Ametlla del Vallès, l'",casos confirmats,,19
03/2020,"Ampolla, l'",casos confirmats,,5
03/2020,Amposta,casos confirmats,,21
03/2020,Anglès,casos confirmats,,7
03/2020,Anglesola,casos confirmats,..,null
03/2020,Arbeca,casos confirmats,..,null
03/2020,"Arboç, l'",casos confirmats,,10
03/2020,Arbúcies,casos confirmats,,8
03/2020,Arenys de Mar,casos confirmats,,35
03/2020,Arenys de Munt,casos confirmats,,26
03/2020,Argelaguer,casos confirmats,,0
03/2020,Argençola,casos confirmats,,0
03/2020,Argentona,casos confirmats,,38
03/2020,"Armentera, l'",casos confirmats,..,null
03/2020,Arnes,casos confirmats,,0
03/2020,Artés,casos confirmats,,26
03/2020,Artesa de Lleida,casos confirmats,,7
03/2020,Artesa de Segre,casos confirmats,..,null
03/2020,Ascó,casos confirmats,..,null
03/2020,Aspa,casos confirmats,,0
03/2020,"Avellanes i Santa Linya, les",casos confirmats,..,null
03/2020,Avià,casos confirmats,,18
03/2020,Avinyó,casos confirmats,,4
03/2020,Avinyonet de Puigventós,casos confirmats,,4
03/2020,Avinyonet del Penedès,casos confirmats,,6
03/2020,Badalona,casos confirmats,,1099
03/2020,Badia del Vallès,casos confirmats,,48
03/2020,Bagà,casos confirmats,,28
03/2020,Baix Pallars,casos confirmats,,0
03/2020,Balaguer,casos confirmats,,76
03/2020,Balenyà,casos confirmats,,36
03/2020,Balsareny,casos confirmats,,10
03/2020,Banyeres del Penedès,casos confirmats,,6
03/2020,Banyoles,casos confirmats,,59
03/2020,Barbens,casos confirmats,..,null
03/2020,Barberà de la Conca,casos confirmats,,0
03/2020,Barberà del Vallès,casos confirmats,,120
03/2020,Barcelona,casos confirmats,,7528
03/2020,"Baronia de Rialb, la",casos confirmats,,0
03/2020,Bàscara,casos confirmats,,0
03/2020,Bassella,casos confirmats,,0
03/2020,Batea,casos confirmats,..,null
03/2020,Begues,casos confirmats,,29
03/2020,Begur,casos confirmats,..,null
03/2020,Belianes,casos confirmats,,0
03/2020,Bellaguarda,casos confirmats,,7
03/2020,Bellcaire d'Empordà,casos confirmats,..,null
03/2020,Bellcaire d'Urgell,casos confirmats,..,null
03/2020,Bell-lloc d'Urgell,casos confirmats,,8
03/2020,Bellmunt del Priorat,casos confirmats,..,null
03/2020,Bellpuig,casos confirmats,,4
03/2020,Bellvei,casos confirmats,..,null
03/2020,Bellver de Cerdanya,casos confirmats,..,null
03/2020,Bellvís,casos confirmats,..,null
03/2020,Benavent de Segrià,casos confirmats,,4
03/2020,Benifallet,casos confirmats,..,null
03/2020,Benissanet,casos confirmats,,0
03/2020,Berga,casos confirmats,,94
03/2020,Besalú,casos confirmats,,4
03/2020,Bescanó,casos confirmats,,17
03/2020,Bigues i Riells del Fai,casos confirmats,,24
03/2020,"Bisbal d'Empordà, la",casos confirmats,,9
03/2020,"Bisbal de Falset, la",casos confirmats,,0
03/2020,"Bisbal del Penedès, la",casos confirmats,,5
03/2020,Biure,casos confirmats,,0
03/2020,Blancafort,casos confirmats,,0
