mes,Catalunya,sexe,concepte,estat,valor
05/2020,Catalunya,homes,ingressos hospitalaris,,827
05/2020,Catalunya,dones,ingressos hospitalaris,,740
05/2020,Catalunya,No hi consta,ingressos hospitalaris,,72
05/2020,Catalunya,total,ingressos hospitalaris,,1639
06/2020,Catalunya,homes,ingressos hospitalaris,,401
06/2020,Catalunya,dones,ingressos hospitalaris,,367
06/2020,Catalunya,No hi consta,ingressos hospitalaris,,32
06/2020,Catalunya,total,ingressos hospitalaris,,800
07/2020,Catalunya,homes,ingressos hospitalaris,,859
07/2020,Catalunya,dones,ingressos hospitalaris,,760
07/2020,Catalunya,No hi consta,ingressos hospitalaris,,177
07/2020,Catalunya,total,ingressos hospitalaris,,1796
08/2020,Catalunya,homes,ingressos hospitalaris,,1286
08/2020,Catalunya,dones,ingressos hospitalaris,,927
08/2020,Catalunya,No hi consta,ingressos hospitalaris,,137
08/2020,Catalunya,total,ingressos hospitalaris,,2350
09/2020,Catalunya,homes,ingressos hospitalaris,,1335
09/2020,Catalunya,dones,ingressos hospitalaris,,1012
09/2020,Catalunya,No hi consta,ingressos hospitalaris,,163
09/2020,Catalunya,total,ingressos hospitalaris,,2510
10/2020,Catalunya,homes,ingressos hospitalaris,,3520
10/2020,Catalunya,dones,ingressos hospitalaris,,2725
10/2020,Catalunya,No hi consta,ingressos hospitalaris,,362
10/2020,Catalunya,total,ingressos hospitalaris,,6607
11/2020,Catalunya,homes,ingressos hospitalaris,,3548
11/2020,Catalunya,dones,ingressos hospitalaris,,2765
11/2020,Catalunya,No hi consta,ingressos hospitalaris,,302
11/2020,Catalunya,total,ingressos hospitalaris,,6615
12/2020,Catalunya,homes,ingressos hospitalaris,,2892
12/2020,Catalunya,dones,ingressos hospitalaris,,2192
12/2020,Catalunya,No hi consta,ingressos hospitalaris,,224
12/2020,Catalunya,total,ingressos hospitalaris,,5308
01/2021,Catalunya,homes,ingressos hospitalaris,,4967
01/2021,Catalunya,dones,ingressos hospitalaris,,3837
01/2021,Catalunya,No hi consta,ingressos hospitalaris,,379
01/2021,Catalunya,total,ingressos hospitalaris,,9183
02/2021,Catalunya,homes,ingressos hospitalaris,,2892
02/2021,Catalunya,dones,ingressos hospitalaris,,2188
02/2021,Catalunya,No hi consta,ingressos hospitalaris,,231
02/2021,Catalunya,total,ingressos hospitalaris,,5311
03/2021,Catalunya,homes,ingressos hospitalaris,,2489
03/2021,Catalunya,dones,ingressos hospitalaris,,1993
03/2021,Catalunya,No hi consta,ingressos hospitalaris,,191
03/2021,Catalunya,total,ingressos hospitalaris,,4673
04/2021,Catalunya,homes,ingressos hospitalaris,,2922
04/2021,Catalunya,dones,ingressos hospitalaris,,2146
04/2021,Catalunya,No hi consta,ingressos hospitalaris,,341
04/2021,Catalunya,total,ingressos hospitalaris,,5409
05/2021,Catalunya,homes,ingressos hospitalaris,,1618
05/2021,Catalunya,dones,ingressos hospitalaris,,1150
05/2021,Catalunya,No hi consta,ingressos hospitalaris,,179
05/2021,Catalunya,total,ingressos hospitalaris,,2947
06/2021,Catalunya,homes,ingressos hospitalaris,,815
06/2021,Catalunya,dones,ingressos hospitalaris,,665
06/2021,Catalunya,No hi consta,ingressos hospitalaris,,116
06/2021,Catalunya,total,ingressos hospitalaris,,1596
07/2021,Catalunya,homes,ingressos hospitalaris,,3931
07/2021,Catalunya,dones,ingressos hospitalaris,,2847
07/2021,Catalunya,No hi consta,ingressos hospitalaris,,505
07/2021,Catalunya,total,ingressos hospitalaris,,7283
08/2021,Catalunya,homes,ingressos hospitalaris,,2193
08/2021,Catalunya,dones,ingressos hospitalaris,,1900
08/2021,Catalunya,No hi consta,ingressos hospitalaris,,249
08/2021,Catalunya,total,ingressos hospitalaris,,4342
09/2021,Catalunya,homes,ingressos hospitalaris,,743
09/2021,Catalunya,dones,ingressos hospitalaris,,710
09/2021,Catalunya,No hi consta,ingressos hospitalaris,,77
09/2021,Catalunya,total,ingressos hospitalaris,,1530
10/2021,Catalunya,homes,ingressos hospitalaris,,541
10/2021,Catalunya,dones,ingressos hospitalaris,,508
10/2021,Catalunya,No hi consta,ingressos hospitalaris,,61
10/2021,Catalunya,total,ingressos hospitalaris,,1110
11/2021,Catalunya,homes,ingressos hospitalaris,,1017
11/2021,Catalunya,dones,ingressos hospitalaris,,749
11/2021,Catalunya,No hi consta,ingressos hospitalaris,,82
11/2021,Catalunya,total,ingressos hospitalaris,,1848
12/2021,Catalunya,homes,ingressos hospitalaris,,2843
12/2021,Catalunya,dones,ingressos hospitalaris,,2210
12/2021,Catalunya,No hi consta,ingressos hospitalaris,,275
12/2021,Catalunya,total,ingressos hospitalaris,,5328
01/2022,Catalunya,homes,ingressos hospitalaris,,5151
01/2022,Catalunya,dones,ingressos hospitalaris,,4527
01/2022,Catalunya,No hi consta,ingressos hospitalaris,,467
01/2022,Catalunya,total,ingressos hospitalaris,,10145
02/2022,Catalunya,homes,ingressos hospitalaris,,3038
