mes,comarques i Aran,concepte,sexe,estat,valor
12/2020,Alt Camp,dosis administrades,homes,,7
12/2020,Alt Camp,dosis administrades,dones,,34
12/2020,Alt Camp,dosis administrades,total,,41
12/2020,Alt Camp,persones vacunades amb primera dosi,homes,,7
12/2020,Alt Camp,persones vacunades amb primera dosi,dones,,34
12/2020,Alt Camp,persones vacunades amb primera dosi,total,,41
12/2020,Alt Camp,persones vacunades amb segona dosi,homes,,0
12/2020,Alt Camp,persones vacunades amb segona dosi,dones,,0
12/2020,Alt Camp,persones vacunades amb segona dosi,total,,0
12/2020,Alt Camp,persones vacunades amb dosi addicional,homes,,0
12/2020,Alt Camp,persones vacunades amb dosi addicional,dones,,0
12/2020,Alt Camp,persones vacunades amb dosi addicional,total,,0
12/2020,Alt Camp,dosis administrades per cada 100 persones,homes,,0.0
12/2020,Alt Camp,dosis administrades per cada 100 persones,dones,,0.2
12/2020,Alt Camp,dosis administrades per cada 100 persones,total,,0.1
12/2020,Alt Camp,població vacunada amb primera dosi (%),homes,,0.0
12/2020,Alt Camp,població vacunada amb primera dosi (%),dones,,0.2
12/2020,Alt Camp,població vacunada amb primera dosi (%),total,,0.1
12/2020,Alt Camp,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Alt Camp,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Alt Camp,població vacunada amb segona dosi (%),total,,0.0
12/2020,Alt Camp,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Alt Camp,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Alt Camp,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Alt Empordà,dosis administrades,homes,,1
12/2020,Alt Empordà,dosis administrades,dones,,0
12/2020,Alt Empordà,dosis administrades,total,,1
12/2020,Alt Empordà,persones vacunades amb primera dosi,homes,,1
12/2020,Alt Empordà,persones vacunades amb primera dosi,dones,,0
12/2020,Alt Empordà,persones vacunades amb primera dosi,total,,1
12/2020,Alt Empordà,persones vacunades amb segona dosi,homes,,0
12/2020,Alt Empordà,persones vacunades amb segona dosi,dones,,0
12/2020,Alt Empordà,persones vacunades amb segona dosi,total,,0
12/2020,Alt Empordà,persones vacunades amb dosi addicional,homes,,0
12/2020,Alt Empordà,persones vacunades amb dosi addicional,dones,,0
12/2020,Alt Empordà,persones vacunades amb dosi addicional,total,,0
12/2020,Alt Empordà,dosis administrades per cada 100 persones,homes,,0.0
12/2020,Alt Empordà,dosis administrades per cada 100 persones,dones,,0.0
12/2020,Alt Empordà,dosis administrades per cada 100 persones,total,,0.0
12/2020,Alt Empordà,població vacunada amb primera dosi (%),homes,,0.0
12/2020,Alt Empordà,població vacunada amb primera dosi (%),dones,,0.0
