mes,comarques i Aran,concepte,estat,valor
03/2020,Alt Camp,defuncions,,10
03/2020,Alt Empordà,defuncions,,2
03/2020,Alt Penedès,defuncions,,22
03/2020,Alt Urgell,defuncions,,3
03/2020,Alta Ribagorça,defuncions,,0
03/2020,Anoia,defuncions,,251
03/2020,Aran,defuncions,,3
03/2020,Bages,defuncions,,134
03/2020,Baix Camp,defuncions,,15
03/2020,Baix Ebre,defuncions,,7
03/2020,Baix Empordà,defuncions,,17
03/2020,Baix Llobregat,defuncions,,437
03/2020,Baix Penedès,defuncions,,22
03/2020,Barcelonès,defuncions,,1670
03/2020,Berguedà,defuncions,,25
03/2020,Cerdanya,defuncions,,0
03/2020,Conca de Barberà,defuncions,,5
03/2020,Garraf,defuncions,,31
03/2020,Garrigues,defuncions,,2
03/2020,Garrotxa,defuncions,,27
03/2020,Gironès,defuncions,,50
03/2020,Maresme,defuncions,,117
03/2020,Moianès,defuncions,,4
03/2020,Montsià,defuncions,,3
03/2020,Noguera,defuncions,,9
03/2020,Osona,defuncions,,90
03/2020,Pallars Jussà,defuncions,,3
03/2020,Pallars Sobirà,defuncions,,0
03/2020,Pla d'Urgell,defuncions,,8
03/2020,Pla de l'Estany,defuncions,,11
03/2020,Priorat,defuncions,,0
03/2020,Ribera d'Ebre,defuncions,,0
03/2020,Ripollès,defuncions,,5
03/2020,Segarra,defuncions,,3
03/2020,Segrià,defuncions,,28
03/2020,Selva,defuncions,,44
03/2020,Solsonès,defuncions,,2
03/2020,Tarragonès,defuncions,,27
03/2020,Terra Alta,defuncions,,0
03/2020,Urgell,defuncions,,8
03/2020,Vallès Occidental,defuncions,,378
03/2020,Vallès Oriental,defuncions,,209
03/2020,Catalunya,defuncions,,3696
04/2020,Alt Camp,defuncions,,19
04/2020,Alt Empordà,defuncions,,23
04/2020,Alt Penedès,defuncions,,127
04/2020,Alt Urgell,defuncions,,3
04/2020,Alta Ribagorça,defuncions,,0
04/2020,Anoia,defuncions,,212
04/2020,Aran,defuncions,,3
04/2020,Bages,defuncions,,336
04/2020,Baix Camp,defuncions,,52
04/2020,Baix Ebre,defuncions,,17
04/2020,Baix Empordà,defuncions,,46
04/2020,Baix Llobregat,defuncions,,861
04/2020,Baix Penedès,defuncions,,60
04/2020,Barcelonès,defuncions,,3005
04/2020,Berguedà,defuncions,,90
04/2020,Cerdanya,defuncions,,0
04/2020,Conca de Barberà,defuncions,,8
04/2020,Garraf,defuncions,,118
04/2020,Garrigues,defuncions,,3
04/2020,Garrotxa,defuncions,,58
04/2020,Gironès,defuncions,,142
04/2020,Maresme,defuncions,,335
04/2020,Moianès,defuncions,,20
04/2020,Montsià,defuncions,,12
04/2020,Noguera,defuncions,,8
04/2020,Osona,defuncions,,233
04/2020,Pallars Jussà,defuncions,,14
04/2020,Pallars Sobirà,defuncions,,0
04/2020,Pla d'Urgell,defuncions,,7
04/2020,Pla de l'Estany,defuncions,,23
04/2020,Priorat,defuncions,,1
04/2020,Ribera d'Ebre,defuncions,,1
04/2020,Ripollès,defuncions,,5
04/2020,Segarra,defuncions,,5
04/2020,Segrià,defuncions,,91
04/2020,Selva,defuncions,,106
04/2020,Solsonès,defuncions,,6
04/2020,Tarragonès,defuncions,,138
04/2020,Terra Alta,defuncions,,2
04/2020,Urgell,defuncions,,7
04/2020,Vallès Occidental,defuncions,,857
04/2020,Vallès Oriental,defuncions,,332
04/2020,Catalunya,defuncions,,7420
05/2020,Alt Camp,defuncions,,1
05/2020,Alt Empordà,defuncions,,8
05/2020,Alt Penedès,defuncions,,22
05/2020,Alt Urgell,defuncions,,0
05/2020,Alta Ribagorça,defuncions,,0
05/2020,Anoia,defuncions,,44
05/2020,Aran,defuncions,,0
05/2020,Bages,defuncions,,57
05/2020,Baix Camp,defuncions,,7
05/2020,Baix Ebre,defuncions,,2
05/2020,Baix Empordà,defuncions,,24
05/2020,Baix Llobregat,defuncions,,117
05/2020,Baix Penedès,defuncions,,11
05/2020,Barcelonès,defuncions,,464
