HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB090	HB090_F	HB100	HB100_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS070	HS070_F	HS080	HS080_F	HS090	HS090_F	HS100	HS100_F	HS110	HS110_F	HS120	HS120_F	HS130	HS130_F	HS140	HS140_F	HS150	HS150_F	HS160	HS160_F	HS170	HS170_F	HS180	HS180_F	HS190	HS190_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH031	HH031_F	HH040	HH040_F	HH050	HH050_F	HH060	HH060_F	HH061	HH061_F	HH070	HH070_F	HH081	HH081_F	HH091	HH091_F	H39A_U	H39B_U	H38A_U	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAIA	VHPOBREZA	POBRECAT	VHMATDEP	HD080	HD080_F
2018	ES	558	09	01	2018	01	55801	01	55801	01		96	6	01	1239430	10100	872660	10100	872660	10100	531979	01	0	0	0	0	0	0	0	0	0	0	0	0	1030	110100	0	0	0	0	0	0	0	0	0	0	-18690	110100	0	0	1325530	20100	0	0	0	0	0	0	0	0	0	0	0	0	1280	40100	0	0	0	0	0	0	0	0	0	0	86100	1100		96	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	200000	01	2	01		96	2	01	2	01	2	01	2	01	4	01	1	01	5	01	1999	01	2	01	1	01		96	55000	01	32614	01	1	01	1	01	06	06	96		96	3	10	2	1239430	1771409	1	1	0	1	01
2018	ES	525	10	01	2018	01	52502	01	52501	01	52502	01	10	01	5448530	10100	4235970	10100	4235970	10100	612979	01	0	0	0	0	0	0	0	0	0	0	0	0	6720	110100	152266	110100	0	0	0	0	0	0	0	0	-195390	110100	0	0	6006150	20100	0	0	0	0	0	0	0	0	0	0	0	0	8350	40100	152266	10100	0	0	0	0	0	0	0	0	557620	1100	3	01	3	01	3	01	2	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	2	01	200000	01	1	01	1	01	2	01	2	01	2	01	2	01	4	01	2	01	3	01	2004	01	2	01	1	01		96	75000	01	43466	01	1	01	1	01	06	06	96	700	01	4	14	2.5	5448530	5909243	0	0	0	2	01
2018	ES	526	10	01	2018	01	52601	01	52601	01	52602	01	9	01	2428580	10100	2428580	10100	67810	10100	542779	01	0	0	0	0	0	0	0	0	0	0	0	0	850	110100	0	0	0	0	0	0	0	0	0	0	-66960	110100	0	0	2821890	20100	0	0	0	0	0	0	0	0	0	0	0	0	1370	40100	0	0	0	0	0	0	0	0	0	0	393310	1100		96	3	01	3	01	2	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01	180000	01	2	01	2	01	2	01	2	01	2	01	2	01	4	01	1	01	5	01	1980	01	2	01	1	01		96	55000	01	20214	01	1	01	1	01	96	96	96		96	2	07	1.5	2428580	2971359	0	0	0	2	01
2018	ES	527	10	01	2018	01	52701	01	52701	01	52702	01	8	01	1296840	10100	1296840	10100	-55990	10100	510897	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55990	110100	0	0	1352830	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55990	1100		96	3	01		96	1	01	1	01	1	01	1	01	1	01	3	01	1	01	1	01	4	01	140000	01	2	01		96	2	01	2	01	2	01	2	01	3	01	1	01	5	01	1977	01	2	01	1	01		96	60000	01	23114	01	1	01	1	01	96	96	96		96	2	07	1.5	1296840	1807737	1	1	0	1	01
2018	ES	559	12	01	2018	01	55901	01	55901	01		96	12	01	1717860	10100	1717860	10100	349440	10100	679130	01	0	0	0	0	0	0	0	0	0	0	0	0	65690	110100	0	0	0	0	0	0	0	0	0	0	178530	110100	0	0	2004830	20100	0	0	0	0	0	0	0	0	0	0	0	0	81100	40100	0	0	0	0	0	0	0	0	0	0	286970	1100		96	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01	200000	01	2	01		96	2	01	2	01	2	01	2	01	2	01	5	01	5	01	1972	01	1	01	1	01		96	120000	01	21820	01	1	01	1	01	96	96	96		96	1	03	1	1717860	2396990	0	0	0	1	01
2018	ES	560	12	01	2018	01	56001	01	56002	01	56001	01	5	01	11439600	10100	11439600	10100	11439600	10100	931263	01	157200	110100	0	0	0	0	0	0	0	0	0	0	140870	110100	0	0	0	0	0	0	0	0	0	0	-81240	110100	0	0	17019770	20100	157200	40100	0	0	0	0	0	0	0	0	0	0	175710	40100	0	0	0	0	0	0	0	0	0	0	5580170	1100		96	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01	400000	01	2	01		96	2	01	2	01	2	01	2	01	4	01	1	01	6	01	1997	01	2	01	1	01		96	150000	01	44960	01	1	01	1	01	96	96	96		96	4	12	2.5	11439600	12370863	0	0	0	1	01
2018	ES	561	12	01	2018	01	56101	01	56101	01	56102	01	4	01	6008290	10100	6008290	10100	6008290	10100	948492	01	1114210	110100	0	0	0	0	0	0	0	0	0	0	6980	110100	0	0	0	0	0	0	0	0	0	0	421800	110100	0	0	8727260	20100	1383640	40100	0	0	0	0	0	0	0	0	0	0	8660	40100	0	0	0	0	0	0	0	0	0	0	2718970	1100		96	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01	350000	01	1	01		96	2	01	2	01	2	01	2	01	2	01	1	01	6	01	1997	01	2	01	1	01		96	150000	01	27632	01	1	01	1	01	96	96	96		96	3	11	2	6008290	6956782	0	0	0	1	01
2018	ES	562	12	01	2018	01	56201	01	56201	01		96	6	01	2630290	10100	2630290	10100	2630290	10100	895263	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5400	110100	0	0	0	0	120000	110100	120000	110100	58360	110100	0	0	3420010	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5400	10100	0	0	0	0	120000	10100	120000	10100	669720	1100	3	01	3	01	3	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	2	01	300000	01	1	01	1	01	2	01	2	01	2	01	2	01	4	01	2	01	6	01	2000	01	2	01	1	01		96	130000	01	28543	01	1	01	1	01	01	06	96	580	01	2	10	1.3	2630290	3520153	0	0	0	2	01
2018	ES	563	12	01	2018	01	56301	01	56302	01	56303	01	6	01	6712190	10100	6273980	10100	254710	10100	831492	01	0	0	0	0	0	0	0	0	0	0	0	0	17250	110100	0	0	0	0	0	0	0	0	0	0	89770	110100	0	0	8020280	20100	0	0	0	0	0	0	0	0	0	0	0	0	22510	40100	0	0	0	0	0	0	0	0	0	0	1308090	1100		96	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01	300000	01	2	01		96	2	01	2	01	2	01	2	01	2	01	1	01	6	01	1993	01	2	01	1	01		96	130000	01	43237	01	1	01	1	01	96	96	96		96	4	14	2.5	6712190	7543682	0	0	0	1	01
2018	ES	564	12	01	2018	01	56402	01	56401	01	56402	01	5	01	7941050	10100	7941050	10100	7941050	10100	0	00	0	0	0	0	0	0	0	0	0	0	0	0	700610	110100	0	0	0	0	0	0	0	0	0	0	-28440	110100	0	0	11009280	20100	0	0	0	0	0	0	0	0	0	0	0	0	864950	40100	0	0	0	0	0	0	0	0	0	0	3068230	1100	3	01	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	350000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	3	01	6	01	2004	01	1	01	1	01	120000	01		96	146395	01	1	01	1	01	06	06	96		96	4	12	2.3	7941050	7941050	0	0	0	1	01
