PB010	PB020	PB030	PB040	PB040_F	PB100	PB100_F	PB110	PB110_F	PB120	PB120_F	PB130	PB130_F	PB140	PB140_F	PB150	PB150_F	PB160	PB160_F	PB170	PB170_F	PB180	PB180_F	PB190	PB190_F	PB200	PB200_F	PB210	PB210_F	PB220A	PB220A_F	PE010	PE010_F	PE020	PE020_F	PE030	PE030_F	PE040	PE040_F	PL031	PL031_F	PL015	PL015_F	PL020	PL020_F	PL025	PL025_F	PL040	PL040_F	PL051	PL051_F	PL060	PL060_F	PL073	PL073_F	PL074	PL074_F	PL075	PL075_F	PL076	PL076_F	PL080	PL080_F	PL085	PL085_F	PL086	PL086_F	PL087	PL087_F	PL089	PL089_F	PL090	PL090_F	PL100	PL100_F	PL111A	PL111A_F	PL120	PL120_F	PL130	PL130_F	PL140	PL140_F	PL150	PL150_F	PL160	PL160_F	PL170	PL170_F	PL180	PL180_F	PL190	PL190_F	PL200	PL200_F	PL211A	PL211A_F	PL211B	PL211B_F	PL211C	PL211C_F	PL211D	PL211D_F	PL211E	PL211E_F	PL211F	PL211F_F	PL211G	PL211G_F	PL211H	PL211H_F	PL211I	PL211I_F	PL211J	PL211J_F	PL211K	PL211K_F	PL211L	PL211L_F	PH010	PH010_F	PH020	PH020_F	PH030	PH030_F	PH040	PH040_F	PH050	PH050_F	PH060	PH060_F	PH070	PH070_F	PY010N	PY010N_F	PY020N	PY020N_F	PY021N	PY021N_F	PY035N	PY035N_F	PY050N	PY050N_F	PY080N	PY080N_F	PY090N	PY090N_F	PY100N	PY100N_F	PY110N	PY110N_F	PY120N	PY120N_F	PY130N	PY130N_F	PY140N	PY140N_F	PY010G	PY010G_F	PY020G	PY020G_F	PY021G	PY021G_F	PY030G	PY030G_F	PY035G	PY035G_F	PY050G	PY050G_F	PY080G	PY080G_F	PY090G	PY090G_F	PY100G	PY100G_F	PY110G	PY110G_F	PY120G	PY120G_F	PY130G	PY130G_F	PY140G	PY140G_F	P78A_U	P78B_U	PD020	PD020_F	PD030	PD030_F	PD050	PD050_F	PD060	PD060_F	PD070	PD070_F	PD080	PD080_F	PW010T	PW010T_F	PW030T	PW030T_F	PW040T	PW040T_F	PW050T	PW050T_F	PW060T	PW060T_F	PW070T	PW070T_F	PW080T	PW080T_F	PW090T	PW090T_F	PW100T	PW100T_F	PW110T	PW110T_F	PW120T	PW120T_F	PW160T	PW160T_F	PW190T	PW190T_F	PW230T	PW230T_F	PW240T	PW240T_F	PHD01T	PHD01T_F	PHD02T	PHD02T_F	PHD03T	PHD03T_F	PHD04T	PHD04T_F	PHD05T	PHD05T_F
2018	ES	46701	90159554	1	10	01	2018	01	7	01	12	01	1968	01	1	01		96		96	46702	01	2	01	1	01	1	01	1	01	2	01		96	2008	01	500	01	01	01		96		96		96	3	01	12	01	40	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	q	01		96	13	01	1	01	1	01	2	01		96		96	18	01	32	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	2	01	2	01	3	01	2	01		96	2	01		96	2595350	110100	0	0	0	0	120000	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3351800	40100	0	0	0	0	994191	01	120000	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01	10	01	08	01	1	01	3	01	3	01	2	01	4	01	2	01	07	01	1	01	07	01	08	01	06	01	5	01	02	01	5	01		96		96		96		96
2018	ES	46702	90495889	1	10	01	2018	01	9	01	02	01	1972	01	2	01		96		96	46701	01	2	01	1	01	1	01	1	01	2	01		96	2000	01	500	01	01	01		96		96		96	3	01	31	01	40	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	e	01		96	13	01	1	01	2	01	2	01		96		96	20	01	26	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	2	01	2	01	3	01	2	01		96		96		96	4261810	110100	20400	110100	0	0	113292	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6010170	40100	20440	40100	0	0	1342743	01	113292	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01	08	01	08	01	1	01	4	01	5	01	3	01	5	01	2	01	08	01	1	01	07	01	08	01	06	01	5	01	00	01	5	01		96		96		96		96
2018	ES	46703	92111254	1	10	01	2018	01	5	01	10	01	2001	01	2	01	46701	01	46702	01		96	1	01	3	01	1	01	1	01	1	01	34	01	2016	01	200	01	06	01	2	01	2	01		96		96		96		96	0	01	0	01	0	01	0	01	0	01	0	01	0	01	12	01	0	01	0	01		96		96		96		96		96		96		96		96		96		96		96	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	06	01	1	01	2	01	3	01	2	01		96	2	01		96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01	10	01	10	01	1	01	3	01	4	01	2	01	5	01	2	01		96	1	01	09	01	10	01	05	01	5	01	01	01	5	01		96		96		96		96
2018	ES	46302	113718538	1	09	01	2018	01	20	01	12	01	1979	01	2	01		96		96	46301	01	2	01	1	01	1	01	1	01	2	01		96	2005	01	500	01	01	01		96		96		96	3	01	21	01	40	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	o	01		96	13	01	1	01	2	01	2	01		96		96	22	01	10	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	2	01	2	01	3	01		96		96		96		96	3159640	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4132780	40100	0	0	0	0	1010923	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01	06	01	05	01	1	01	2	01	4	01	3	01	4	01	2	01	06	01	1	01	07	01	06	01	06	01	3	01	02	01	5	01		96		96		96		96
2018	ES	46601	210106896	1	10	01	2018	01	8	01	10	01	1979	01	1	01		96		96		96	1	01	3	01	1	01	1	01	2	01		96	2002	01	500	01	03	01		96		96		96	2	01	35	01	40	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	j	01		96	01	01		96		96	2	01		96		96	19	01	19	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	2	01	2	01	3	01	2	01		96		96		96	772390	110100	0	0	0	0	0	0	396290	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	785270	40100	0	0	0	0	0	00	0	0	704600	40100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01		97		97	1	01		97		97		97		97		97		97	1	01		97		97		97		97		97	5	01		96		96		96		96
2018	ES	46602	209542381	1	10	01	2018	01	18	01	05	01	1980	01	2	01		96		96		96	1	01	3	01	1	01	1	01	2	01		96	2002	01	500	01	11	01	1	01	2	01		96	2	01	23	01		96	0	01	0	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96		96		96		96		96		96		96		96		96	20	01	17	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	2	01	2	01	2	01	2	01		96	2	01		96	0	0	0	0	0	0	0	0	412370	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	698780	40100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02		1	01	1	01	1	01	1	01	3	01	1	01	07	01	06	01	1	01	2	01	2	01	3	01	3	01	3	01		96	1	01	02	01	07	01	09	01	5	01	03	01	5	01		96		96		96		96
2018	ES	46801	92931616	1	10	01	2018	01	6	01	08	01	1946	01	2	01		96		96		96	4	01	3	01	1	01	1	01	2	01		96	1965	01	500	01	07	01	1	01	2	01		96	3	01	41	01		96	0	01	0	01	0	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01		96		96		96		96	1	01	1	01		96		96		96	19	01	35	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	2	01	2	01	3	01	2	01		96	2	01		96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499160	110100	1288900	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	564530	40100	1457710	40100	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	3	01	1	01	07	01	07	01	1	01	5	01	5	01	2	01	5	01	3	01		96	1	01	07	01	08	01	07	01	4	01	00	01	5	01		96		96		96		96
2018	ES	46802	97590198	1	10	01	2018	01	4	01	09	01	1996	01	2	01		96		96		96	1	01	3	01	1	01	1	01	2	01		96	2012	01	200	01	05	01	2	01	1	01	1	01		96		96		96	0	01	0	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01	0	01		96		96		96		96		96		96		96		96		96		96		96	05	01	05	01	05	01	05	01	05	01	05	01	05	01	05	01	05	01	05	01	05	01	05	01	1	01	2	01	3	01	2	01		96	2	01		96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01		97		97	1	01		97		97		97		97		97		96	1	01		97		97		97		97		97	5	01		96		96		96		96
2018	ES	46901	126056925	1	10	01	2018	01	4	01	04	01	1973	01	1	01		96		96		96	1	01	3	01	1	01	1	01	2	01		96	1990	01	300	01	01	01		96		96		96	3	01	51	01	30	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	n	01		96	01	01	1	01	2	01	2	01		96		96	18	01	17	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	2	01	2	01	3	01	2	01		96		96		96	972620	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1038570	40100	0	0	0	0	309965	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	2	01	2	01	1	01		97		97	1	01		97		97		97		97		97		97	1	01		97		97		97		97		97	5	01		96		96		96		96
2018	ES	46902	125718235	1	10	01	2018	01	8	01	06	01	1973	01	2	01		96		96		96	1	01	3	01	1	01	1	01	2	01		96	1989	01	300	01	01	01		96		96		96	3	01	41	01	40	01	10	01	0	01	0	01	0	01	2	01	0	01	0	01	0	01	0	01	0	01		96	l	01		96	09	01	1	01	2	01	1	01	3	01	04	01	18	01	20	01	01	01	01	01	01	01	01	01	01	01	01	01	05	01	05	01	01	01	01	01	01	01	01	01	2	01	2	01	3	01	2	01		96	2	01		96	1165180	110100	0	0	0	0	0	0	0	0	0	0	723380	110100	0	0	0	0	0	0	0	0	0	0	1290660	40100	0	0	0	0	383097	01	0	0	0	0	0	0	743150	40100	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	2	01	2	01	1	01	09	01	05	01	1	01	5	01	5	01	2	01	5	01	4	01	05	01	1	01	03	01	08	01	03	01	5	01	00	01	5	01		96		96		96		96
