Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
PB010	Any de l'enquesta	Año de la encuesta	Survey year				
PB020	País	País	Country				
PB020				ES	Codi del país	Código de país	Country code
PB030 	Identificació transversal de la persona	Identificación transversal de la persona	Cross-sectional person identification				
PB040	Factor de ponderació personal transversal multiplicat per 100.000 (tots els membres de la llar de 16 anys o més) (factor de ponderació = PB040 / 100.000)	Factor de ponderación personal transversal multiplicado por 100.000 (todos los miembros del hogar de 16 años o más) (factor de ponderación = PB040 / 100.000)	Cross-sectional personal weighting factor multiplied by 100,000 (all household members aged 16 and over) (weighting factor = PB040 / 100,000)				
PB040_F 				1	Variable completada	Variable completada	Variable completed
PB100	Mes de l'entrevista	Mes de la entrevista	Month of the interview				
PB100				01	Gener	Enero	January
PB100				02	Febrer	Febrero	February
PB100				03	Març	Marzo	March
PB100				04	Abril	Abril	April
PB100				05	Maig	Mayo	May
PB100				06	Juny	Junio	June
PB100				07	Juliol	Julio	July
PB100				08	Agost	Agosto	August
PB100				09	Setembre	Septiembre	September
PB100				10	Octubre	Octubre	October
PB100				11	Novembre	Noviembre	November
PB100				12	Desembre	Diciembre	December
PB100_F	Variable que indica si PB100 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si PB100 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB100 is complete, if it is missing or if it is not applicable in the record in question.				
PB100_F				97	No hi consta	No consta	No answer
PB100_F				01	Variable completada	Variable completada	Variable completed
PB110 	Any de l'entrevista	Año de la entrevista	Year of the interview				
PB110_F	Variable que indica si PB110 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si PB110 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB110 is complete, if it is missing or if it is not applicable in the record in question.				
PB110_F				97	No hi consta	No consta	No answer
PB110_F				01	Variable completada	Variable completada	Variable completed
PB120	Nombre de minuts emprats a emplenar el qüestionari sobre la llar	Número de minutos empleados en cumplimentar el cuestionario	Number of minutes taken to complete the household questionnaire				
PB120_F 				97	No hi consta	No consta	No answer
PB120_F 				01	Variable completada	Variable completada	Variable completed
PB130	Mes de naixement	Mes de nacimiento	Month of birth				
PB130				01	Gener	Enero	January
PB130				02	Febrer	Febrero	February
PB130				03	Març	Marzo	March
PB130				04	Abril	Abril	April
PB130				05	Maig	Mayo	May
PB130				06	Juny	Junio	June
PB130				07	Juliol	Julio	July
PB130				08	Agost	Agosto	August
PB130				09	Setembre	Septiembre	September
PB130				10	Octubre	Octubre	October
PB130				11	Novembre	Noviembre	November
PB130				12	Desembre	Diciembre	December
PB130_F 				97	No hi consta	No consta	No answer
PB130_F 				01	Variable completada	Variable completada	Variable completed
PB140 	Any de naixement	Año de nacimiento	Year of birth				
PB140 				(PB010)-86	Persones de 85 anys o més	Personas de 85 o más años	People aged 85 or over
PB140 				((PB010)-85) a PB010	Resta: Any de naixement	Resto: Año de nacimiento	Other: Year of birth
PB140_F	Variable que indica si PB140 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si PB140 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB140 is complete, if it is missing or if it is not applicable in the record in question.				
PB140_F				97	No hi consta	No consta	No answer
PB140_F				01	Variable completada	Variable completada	Variable completed
PB150 	Sexe	Sexo	Sex				
PB150 				1	Home	Varón	Man
PB150 				2	Dona	Mujer	Woman
PB150_F 				97	No hi consta	No consta	No answer
PB150_F 				01	Variable completada	Variable completada	Variable completed
PB160 	Identificació del pare	Identificación del padre	Identification of the father				
PB160_F 				96	El pare no és membre de la llar o no té pare	El padre no es miembro del hogar o no tiene padre	The father is not a member of the household or he/she has no father
PB160_F 				97	No hi consta	No consta	No answer
PB160_F 				01	Variable completada	Variable completada	Variable completed
PB170 	Identificació de la mare	Identificación de la madre	Identification of the mother				
PB170_F	Variable que indica si PB170 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si PB170 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB170 is complete, if it is missing or if it is not applicable in the record in question.				
PB170_F				96	La mare no és membre de la llar o no té mare	La madre no es miembro del hogar o no tiene madre	The mother is not a member of the household or he/she has no mother
PB170_F				97	No hi consta	No consta	No answer
PB170_F				01	Variable completada	Variable completada	Variable completed
PB180 	Identificació del cònjugue/parella	Identificación del cónyuge/pareja	Identification of spouse/partner				
PB180_F 				96	No té cònjuge o parella o no és membre de la llar	No tiene cónyuge o pareja o ésta no es miembro del hogar	He/she has no spouse or partner or he/she is not a member of the household
PB180_F 				97	No hi consta	No consta	No answer
PB180_F 				01	Variable completada	Variable completada	Variable completed
PB190 	Estat civil	Estado civil	Marital status				
PB190 				1	Solter	Soltero	Single
PB190 				2	Casat	Casado	Married
PB190 				3	Separat	Separado	Separate
PB190 				4	Vidu	Viudo	Widower
PB190 				5	Divorciat	Divorciado	Divorced
PB190_F 				97	No hi consta	No consta	No answer
PB190_F 				01	Variable completada	Variable completada	Variable completed
PB200 	Cònjugue o parella de fet	Cónyuge o pareja de hecho	Spouse or common-law partner				
PB200 				1	Sí, amb base jurídica	Sí, con base jurídica	Yes, with a legal basis
PB200 				2	Sí, sense base jurídica	Sí, sin base jurídica	Yes, without a legal basis
PB200 				3	No	No	No
PB200_F 				97	No hi consta	No consta	No answer
PB200_F 				01	Variable completada	Variable completada	Variable completed
PB210 	País de naixement	País de nacimiento	Country of birth				
PB210 				1	Espanya	España	Spain
PB210 				2	Estranger (resta de la Unió Europea – UE-28)	Extranjero (resto de la Unión Europea – UE-28) 	Foreigner (rest of the European Union - EU-28)
PB210 				3	Estranger (resta del món)	Extranjero (resto del mundo)	Foreigner (rest of the world)
PB210_F	Variable que indica si PB210 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si PB210 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB210 is complete, if it is missing or if it is not applicable in the record in question.				
PB210_F				97	No hi consta	No consta	No answer
PB210_F				01	Variable completada	Variable completada	Variable completed
PB220A 	Nacionalitat	Nacionalidad	Nationality				
PB220A 				1	Espanya	España	Spain
PB220A 				2	Estranger (resta de la Unió Europea – UE-28)	Extranjero (resto de la Unión Europea – UE-28) 	Foreigner (rest of the European Union - EU-28)
PB220A 				3	Estranger (resta del món)	Extranjero (resto del mundo)	Foreigner (rest of the world)
PB220A_F	Variable que indica si PB220A està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si PB220A está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB220A is complete, if it is missing or if it is not applicable in the record in question.				
PB220A_F				97	No hi consta	No consta	No answer
PB220A_F				01	Variable completada	Variable completada	Variable completed
PE010 	Actualment està cursant algun tipus d'estudis o de formació?	¿Está cursando actualmente algún tipo de estudios o de formación?	Are you currently studying or training?				
PE010 				1	Sí	Sí	Yes
PE010 				2	No	No	No
PE010_F	Variable que indica si PE010 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si PE010 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PE010 is complete, if it is missing or if it is not applicable in the record in question.				
PE010_F				97	No hi consta	No consta	No answer
PE010_F				01	Variable completada	Variable completada	Variable completed
PE020	Nivell d'estudis que està cursant	Nivel de los estudios que está realizando	Level of education he/she is studying				
PE020				00	Menys que primària	Menos que primaria	Less than primary
PE020				10	Educació primària	Educación primaria	Primary education
PE020				20	Primera etapa d'educació secundària	Primera etapa de educación secundaria	First stage of secondary education
PE020				30	Segona etapa d'educació secundària	Segunda etapa de educación secundaria	Second stage of secondary education
PE020				34	Per a persones d'entre 16 i 34 anys: Orientació general	Para personas de 16 a 34 años: Orientación general 	For people aged 16 to 34: General guidance
PE020				35	Per a persones d'entre 16 i 34 anys: Orientació professional	Para personas de 16 a 34 años: Orientación profesional 	For people aged 16 to 34: Career guidance
PE020				40	Educació postsecundària no superior	Educación postsecundaria no superior	Non-higher post-secondary education
PE020				45	Per a persones d'entre 16 i 34 anys: Orientació professional	Para personas de 16 a 34 años: Orientación profesional 	For people aged 16 to 34: Career guidance
PE020				50	Per a persones d'entre 16 i 34 anys: Educació superior	Para personas de 16 a 34 años: Educación superior	For people aged 16 to 34: Higher education
PE020_F	Variable que indica si PE020 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si PE020 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PE020 is complete, if it is missing or if it is not applicable in the record in question.				
PE020_F				96	NA (si PE010 ≠ 1)	NA (si PE010 ≠ 1)	NA (if PE010 ≠ 1)
PE020_F				97	No hi consta	No consta	No answer
PE020_F				01	Variable completada	Variable completada	Variable completed
PE030	Any en què va aconseguir el nivell més elevat d'educació	Año en que se consiguió el nivel más elevado de educación	Year in which he/she reached his/her highest level of education				
PE030_F	Variable que indica si PE030 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si PE030 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PE030 is complete, if it is missing or if it is not applicable in the record in question.				
PE030_F				96	NA (si PE040 = 000)	NA (si PE040 = 000)	NA (if PE040 = 000)
PE030_F				97	No hi consta	No consta	No answer
PE030_F				01	Variable completada	Variable completada	Variable completed
PE040	Nivell dels estudis finalitzats	Nivel de los estudios terminados 	Level of studies completed				
PE040				000	Menys que primària	Menos que primaria	Less than primary
PE040				100	Educació primària	Educación primaria	Primary education
PE040				200	Primera etapa d'educació secundària	Primera etapa de educación secundaria	First stage of secondary education
PE040				300	Segona etapa d'educació secundària	Segunda etapa de educación secundaria	Second stage of secondary education
PE040				344	Per a persones d'entre 16 i 34 anys: Orientació general	Para personas de 16 a 34 años: Orientación general 	For people aged 16 to 34: General guidance
PE040				353	Per a persones d'entre 16 i 34 anys: Orientació professional (sense accés directe a educació superior)	Para personas de 16 a 34 años: Orientación profesional (sin acceso directo a educación superior) 	For people aged 16 to 34: Career guidance (without direct access to higher education)
PE040				354	Per a persones d'entre 16 i 34 anys: Orientació professional (amb accés directe a educació superior)	Para personas de 16 a 34 años: Orientación profesional (con acceso directo a educación superior)	For people aged 16 to 34: Career guidance (with direct access to higher education)
PE040				400	Educació postsecundària no superior	Educación postsecundaria no superior	Non-higher post-secondary education
PE040				450	Per a persones d'entre 16 i 34 anys: Orientació professional	Para personas de 16 a 34 años: Orientación profesional 	For people aged 16 to 34: Career guidance
PE040				500	Per a persones d'entre 16 i 34 anys: Educació superior	Para personas de 16 a 34 años: Educación superior	For people aged 16 to 34: Higher education
PE040_F	Variable que indica si PE040 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si PE040 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PE040 is complete, if it is missing or if it is not applicable in the record in question.				
PE040_F				97	No hi consta	No consta	No answer
PE040_F				1	Variable completada	Variable completada	Variable completed
PL031 	Situació en relació amb l'activitat definida per l'interessat (2a classificació)	Situación en relación con la actividad definida por el interesado (2ª clasificación)	Situation in relation to the activity defined by the interested party (2nd classification)				
PL031 				01	Assalariat a temps complet	Asalariado a tiempo completo	Full-time employee
PL031 				02	Assalariat a temps parcial	Asalariado a tiempo parcial	Part-time employee
PL031 				03	Treballador per compte propi a temps complet	Trabajador por cuenta propia a tiempo completo	Full-time self-employed worker 
PL031 				04	Treballador per compte propi a temps parcial	Trabajador por cuenta propia a tiempo parcial	Part-time self-employed worker
PL031 				05	Aturat	Parado	Unemployed
PL031 				06	Estudiant, escolar o en formació	Estudiante, escolar o en formación	Student, school pupil or trainee
PL031 				07	Jubilat, retirat, jubilat anticipat o ha tancat un negoci	Jubilado, retirado, jubilado anticipado o ha cerrado un negocio	Retired, early retired or has closed a business
PL031 				08	Incapacitat permanent per treballar	Incapacitado permanente para trabajar	Permanent incapacity to work
PL031 				09	Servei militar obligatori o prestació social substitutòria	Servicio militar obligatorio o prestación social sustitutoria	Compulsory military service or substitute social service
PL031 				10	Dedicat a les feines de la llar, a la cura de nens o altres persones	Dedicado a las labores del hogar, al cuidado de niños u otras personas	Dedicated to homemaking or caring for children or other people
PL031 				11	Una altra classe d'inactivitat econòmica	Otra clase de inactividad económica	Other class of economic inactivity
PL031_F	Variable que indica si PL031 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si PL031 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL031 is complete, if it is missing or if it is not applicable in the record in question.				
PL031_F				97	No hi consta	No consta	No answer
PL031_F				01	Variable completada	Variable completada	Variable completed
PL015 	Ha treballat algua vegada?	¿Ha trabajado alguna vez?	Have you ever worked?				
PL015 				1	Sí	Sí	Yes
PL015 				2	No	No	No
PL015_F	Variable que indica si PL015 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si PL015 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL015 is complete, if it is missing or if it is not applicable in the record in question.				
PL015_F				96	NA (si PL031 ≠ 1 o 2 o 3 o 4)	NA (si PL031 ≠ 1 o 2 o 3 o 4)	NA (if PL031 ≠ 1 or 2 or 3 or 4)
PL015_F				97	No hi consta	No consta	No answer
PL015_F				01	Variable completada	Variable completada	Variable completed
PL020 	Va buscar una feina activament durant les 4 setmanes anteriors?	¿Buscó un trabajo activamente durante las 4 semanas anteriores?	Have you been actively looking for a job for the last 4 weeks?				
PL020 				1	Sí	Sí	Yes
PL020 				2	No	No	No
PL020_F	Variable que indica si PL020 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si PL020 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL020 is complete, if it is missing or if it is not applicable in the record in question.				
PL020_F				96	NA (si PL031 = 1 o 2 o 3 o 4)	NA (si PL031 = 1 o 2 o 3 o 4)	NA (if PL031 = 1 or 2 or 3 or 4)
PL020_F				97	No hi consta	No consta	No answer
PL020_F				01	Variable completada	Variable completada	Variable completed
PL025	Està disponible per treballar en les properes 2 setmanes?	¿Está disponible para trabajar en las próximas 2 semanas?	Are you available to work in the next 2 weeks?				
PL025				1	Sí	Sí	Yes
PL025				2	No	No	No
PL025_F	Variable que indica si PL025 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si PL025 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL025 is complete, if it is missing or if it is not applicable in the record in question.				
PL025_F				96	NA (si PL020 = 2)	NA (si PL020 = 2)	NA (if PL020 = 2)
