RB010	RB020	RB030	RB050	RB050_F	RB070	RB070_F	RB080	RB080_F	RB090	RB090_F	RB200	RB200_F	RB210	RB210_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	AROPE
2018	ES	51501	146822727	01	11	01	1984	01	1	01	1	01	2	01		96		96	51502	01		96		96		96		96		96		96		96	00	0	1
2018	ES	51502	146822727	01	08	01	1985	01	2	01	1	01	2	01		96		96	51501	01		96		96		96		96		96		96		96	00	0	1
2018	ES	51503	146822727	01	01	01	2011	01	2	01	1	01	4	01		96	51502	01		96		96	35	01	0	01	0	01	0	01	0	01	141294375	01	00	0	1
2018	ES	51504	146822727	01	04	01	2013	01	1	01	1	01	4	01		96	51502	01		96	35	01		96	0	01	0	01	0	01	0	01	155016903	01	00	0	1
2018	ES	52001	66176317	01	09	01	1985	01	2	01	1	01	1	01		96		96	52002	01		96		96		96		96		96		96		96	00	0	0
2018	ES	52002	66176317	01	11	01	1976	01	1	01	1	01	1	01		96		96	52001	01		96		96		96		96		96		96		96	00	0	0
2018	ES	52003	66176317	01	12	01	1997	01	1	01	1	01	1	01	52002	01		96		96		96		96		96		96		96		96		96	00	0	0
2018	ES	52004	66176317	01	06	01	2001	01	2	01	1	01	4	01	52002	01		96		96		96		96		96		96		96		96		96	00	0	0
2018	ES	52005	66176317	01	11	01	2009	01	2	01	1	01	4	01	52002	01	52001	01		96		96	30	01	0	01	0	01	0	01	0	01	72540447	01	00	0	0
2018	ES	52006	66176317	01	11	01	2011	01	2	01	1	01	4	01	52002	01	52001	01		96		96	30	01	0	01	0	01	0	01	0	01	61543204	01	00	0	0
2018	ES	52101	251894021	01	03	01	1979	01	1	01	1	01	1	01		96		96	52102	01		96		96		96		96		96		96		96	00	0	0
2018	ES	52102	251894021	01	01	01	1982	01	2	01	2	01	1	01		96		96	52101	01		96		96		96		96		96		96		96	00	0	0
2018	ES	52301	149709479	01	02	01	1941	01	1	01	1	01	3	01		96		96	52302	01		96		96		96		96		96		96		96	96	1	1
2018	ES	52302	149709479	01	02	01	1932	01	2	01	1	01	3	01		96		96	52301	01		96		96		96		96		96		96		96	96	1	1
2018	ES	52401	204355520	01	03	01	1957	01	1	01	1	01	3	01	52402	01		96		96		96		96		96		96		96		96		96	96	0	0
2018	ES	52402	204355520	01	04	01	1934	01	1	01	1	01	3	01		96		96		96		96		96		96		96		96		96		96	96	0	0
2018	ES	52501	64586990	01	08	01	1968	01	1	01	1	01	1	01		96		96	52502	01		96		96		96		96		96		96		96	00	0	0
2018	ES	52502	64586990	01	09	01	1963	01	2	01	1	01	4	01		96		96	52501	01		96		96		96		96		96		96		96	00	0	0
