HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB090	HB090_F	HB100	HB100_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS070	HS070_F	HS080	HS080_F	HS090	HS090_F	HS100	HS100_F	HS110	HS110_F	HS120	HS120_F	HS130	HS130_F	HS140	HS140_F	HS150	HS150_F	HS160	HS160_F	HS170	HS170_F	HS180	HS180_F	HS190	HS190_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH031	HH031_F	HH040	HH040_F	HH050	HH050_F	HH060	HH060_F	HH061	HH061_F	HH070	HH070_F	HH081	HH081_F	HH091	HH091_F	H39A_U	H39B_U	H38A_U	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAIA	VHPOBREZA	POBRECAT	VHMATDEP	HD080	HD080_F	HI010T	HI010T_F	HI020T	HI020T_F	HI030T	HI030T_F	HI040T	HI040T_F
2019	ES	463	10	01	2019	01	46305	01	46302	01	46305	01	7	01	1472950	10100	735190	10100	735190	10100	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15280	110100	0	0	1577210	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104260	1100		97	3	01		96	1	01	2	01	1	01	1	01	1	01	1	01	1	01	2	01	2	01	200000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	3	01	4	01	2013	01	2	01	2	01	65000	01		96	74193	01	1	01	1	01	06	06	06		96	8	14	3.7	1472950	1472950	1	1	0	2	01	2	01		96		96	1	01
2019	ES	464	10	01	2019	01	46401	01	46402	01	46401	01	5	01	0	0	0	0	0	0	646923	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	01	3	01		96	2	01	1	01	2	01	1	01	1	01	1	01	1	01	1	01	5	01	100000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	4	01	4	01	1955	01	2	01	1	01	10000	01	100000	01	22864	01	1	01	1	01	96	96	96		96	2	07	1.5	0	646923	1	1	0	2	01	2	01		96		96	2	01
2019	ES	465	10	01	2019	01	46501	01	46501	01	46502	01	5	01	2887130	10100	2887130	10100	814770	10100	629104	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141460	110100	0	0	3325450	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438320	1100		96	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	4	01	250000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	1	01	6	01	1966	01	2	01	1	01		96	80000	01	26361	01	1	01	1	01	96	96	96		96	2	07	1.5	2887130	3516234	0	0	0	2	01	2	01		96		96	2	01
2019	ES	466	10	01	2019	01	46601	01	46601	01		96	5	01	2520340	10100	2520340	10100	1418380	10100	571504	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330360	110100	0	0	3254070	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	733730	1100		96	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	5	01	120000	01	2	01		96	2	01	2	01	2	01	2	01	4	01	1	01	5	01	1975	01	1	01	1	01		96	60000	01	21406	01	1	01	1	01	96	96	96		96	1	05	1	2520340	3091844	0	0	0	1	01	2	01		96		96	2	01
2019	ES	468	10	01	2019	01	46801	01	46801	01	46802	01	5	01	1270305	12058	615225	12014	615225	12014	706791	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399953	110100	0	0	0	0	0	0	0	0	0	0	0	0	1376537	32058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399953	10100	0	0	0	0	0	0	0	0	106232	1057	3	01	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	2	01	3	01	250000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	2	01	3	01	2004	01	1	01	1	01		96	70000	01	55893	01	1	01	1	01	06	06	96	688	01	3	09	2	1270305	1577143	1	1	0	1	01	2	01		96		96	2	01
2019	ES	470	10	01	2019	01	47002	01	47001	01	47002	01	7	01	2117030	10100	2117030	10100	294880	10100	581319	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-294880	110100	0	0	2065030	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-52000	1100		96	3	01		96	2	01	1	01	2	01	1	01	1	01	3	01	1	01	1	01	3	01	100000	01	1	01		96	2	01	2	01	2	01	2	01	4	01	1	01	3	01	1981	01	2	01	1	01		96		97	17193	01	1	01	1	01	06	06	96		96	2	07	1.5	2117030	2698349	0	0	0	2	01	2	01		96		96	2	01
2019	ES	471	11	01	2019	01	47102	01	47101	01	47102	01	8	01	3128400	10100	3128400	10100	3128400	10100	548016	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102634	112000	0	0	0	0	0	0	0	0	-71460	110100	0	0	3655260	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102634	12000	0	0	0	0	0	0	0	0	526860	1100	3	01	3	01	3	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01	250000	01	2	01	1	01	2	01	2	01	2	01	2	01	3	01	2	01	6	01	2005	01	2	01	1	01		96	54000	01	37484	01	1	01	1	01	96	96	96	380	01	4	14	2.5	3128400	3573781	0	0	0	2	01	1	01	4	01		96	2	01
2019	ES	472	11	01	2019	01	47201	01	47201	01	47202	01	11	01	2362230	10100	2362230	10100	48530	10100	579546	01	0	0	0	0	0	0	0	0	0	0	0	0	277530	110100	0	0	0	0	0	0	240000	110100	0	0	-11000	110100	0	0	2710910	20100	0	0	0	0	0	0	0	0	0	0	0	0	342650	40100	0	0	0	0	0	0	240000	10100	0	0	108680	1100		96	3	01		96	1	01	1	01	2	01	1	01	1	01	3	01	1	01	1	01	3	01	180000	01	2	01		96	2	01	2	01	2	01	2	01	4	01	1	01	6	01	1977	01	1	01	1	01		96	70000	01	28471	01	1	01	1	01	06	06	96		96	2	07	1.5	2362230	2941776	0	0	0	2	01	2	01		96		96	3	01
2019	ES	474	11	01	2019	01	47401	01	47401	01	47402	01	13	01	4743730	10100	4743730	10100	4743730	10100	593684	01	236240	110100	0	0	0	0	0	0	0	0	0	0	1750	110100	36000	110100	0	0	0	0	0	0	0	0	27770	110100	0	0	5898420	20100	236240	40100	0	0	0	0	0	0	0	0	0	0	2170	40100	36000	10100	0	0	0	0	0	0	0	0	1154690	1100	3	01	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01	240000	01	3	01		96	2	01	2	01	2	01	2	01	4	01	2	01	4	01	2011	01	2	01	1	01		96	70000	01	30691	01	1	01	1	01	96	96	96	385	01	3	11	1.8	4743730	5301414	0	0	0	1	01	2	01		96		96	2	01
2019	ES	475	11	01	2019	01	47501	01	47501	01		96	15	01	1207180	10100	1207180	10100	58400	10100	503660	01	0	0	0	0	0	0	0	0	0	0	0	0	47280	110100	0	0	0	0	0	0	0	0	0	0	-11120	110100	0	0	1207140	20100	0	0	0	0	0	0	0	0	0	0	0	0	58360	40100	0	0	0	0	0	0	0	0	0	0	-40	1100		96	3	01		96	2	01	1	01	2	01	1	01	1	01	3	01	1	01	3	01	3	01	90000	01	1	01		96	2	01	2	01	2	01	2	01	3	01	1	01	4	01	1977	01	2	01	1	01		96	50000	01	22090	01	1	01	1	01	06	06	96		96	1	06	1	1207180	1710840	0	0	0	2	01	3	01		96	6	01		97
