Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
HB010	Any de l'enquesta	Año de la encuesta 	Survey year				
HB020	País	País	Country				
HB020				ES	Espanya	España	Spain
HB030	Identificació transversal de la llar	Identificación transversal del hogar	Cross-sectional household identification				
HB050	Mes de l'entrevista a la llar	Mes de la entrevista al hogar	Household interview month				
HB050				01	Gener	Enero	January
HB050				02	Febrer	Febrero	February
HB050				03	Març	Marzo	March
HB050				04	Abril	Abril	April
HB050				05	Maig	Mayo	May
HB050				06	Juny 	Junio	June
HB050				07	Juliol	Julio	July
HB050				08	Agost	Agosto	August
HB050				09	Setembre	Septiembre	September
HB050				10	Octubre	Octubre	October
HB050				11	Novembre	Noviembre	November
HB050				12	Desembre	Diciembre	December
HB050_F	Variable que indica si HB050 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si HB050 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if HB050 is complete, if it is missing or if it is not applicable in the record in question.				
HB050_F				97	No hi consta	No consta	No answer
HB050_F				01	Variable completada	Variable completada	Variable completed
HB060	Any de l'entrevista a la llar	Año de la entrevista al hogar	Household interview year				
HB060_F	Variable que indica si HB060 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si HB060 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if HB060 is complete, if it is missing or if it is not applicable in the record in question.				
HB060_F				01	Variable completada	Variable completada	Variable completed
HB070	Identificació personal de l'informant del qüestionari sobre la llar	Identificación personal del informante del cuestionario sobre el hogar	Personal identification of the informant in the household questionnaire				
HB070_F	Variable que indica si HB070 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si HB070 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if HB070 is complete, if it is missing or if it is not applicable in the record in question.				
HB070_F				97	No hi consta	No consta	No answer
HB070_F				01	Variable completada	Variable completada	Variable completed
HB080	Identificació de la primera persona responsable de l'habitatge	Identificación de la primera persona responsable de la vivienda	Identification of the first person responsible for the household				
HB080_F	Variable que indica si HB080 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si HB080 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if HB080 is complete, if it is missing or if it is not applicable in the record in question.				
HB080_F				97	No hi consta	No consta	No answer
HB080_F				01	Variable completada	Variable completada	Variable completed
HB090	Identificació de la segona persona responsable de l'habitatge	Identificación de la segunda persona responsable de la vivienda	Identification of the second person responsible for the household				
HB090_F	Variable que indica si HB090 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si HB090 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if HB090 is complete, if it is missing or if it is not applicable in the record in question.				
HB090_F				96	NA (no hi ha 2n responsable)	NA (no hay 2º responsable)	NA (no 2nd person responsible)
HB090_F				97	No hi consta	No consta	No answer
HB090_F				01	Variable completada	Variable completada	Variable completed
HB100	Nombre de minuts emprats a emplenar el qüestionari sobre la llar	Número de minutos empleados en cumplimentar el cuestionario sobre el hogar	Number of minutes taken to complete the household questionnaire				
HB100_F	Variable que indica si HB100 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si HB100 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if HB100 is complete, if it is missing or if it is not applicable in the record in question.				
HB100_F				97	No hi consta	No consta	No answer
HB100_F				01	Variable completada	Variable completada	Variable completed
HY020	Renda disponible total de la llar l'any anterior al de l'enquesta (import en cèntims d'euro)	Renta disponible total del hogar en el año anterior al de la encuesta (importe en céntimos de euro)	Total disposable household income in the year before the survey (amount in euro cents)				
HY020_F 				97	No hi consta	No consta	No answer
HY020_F 					INDICADORS RENDA	INDICADORES RENTA	INCOME INDICATORS
HY020_F 					PRIMER DÍGIT: neta/bruta (mode de recollida de dades)	PRIMER DÍGITO: neta/bruta (modo de recogida de datos)	FIRST DIGIT: net/gross (data collection form)
HY020_F 				0	Sense renda (sense dígits següents)	Sin renta (sin dígitos siguientes)	No income (no subsequent digits)
HY020_F 				1	Neta	Neta	Net
HY020_F 				2	Bruta	Bruta	Gross
HY020_F 				3	Neta i bruta (components recollits parcialment en net i parcialment en brut)	Neta y bruta (componentes recogidos parcialmente en neto y parcialmente en bruto)	Net and gross (components collected partially net and partially gross)
HY020_F 				4	Desconeguda	Desconocida	Unknown
HY020_F 					SEGON DÍGIT: Mètode d'imputació	SEGUNDO DÍGITO: Método de imputación	SECOND DIGIT: Imputation method
HY020_F 				2	Imputació estadística	Imputación estadística	Statistical imputation
HY020_F 					DÍGITS SEGÜENTS: factor d'imputació (100 x valor recollit / valor registrat)	DÍGITOS SIGUIENTES: factor de imputación (100 x valor recogido / valor registrado)	NEXT DIGITS: imputation factor (100 x collected value / registered value)
HY020_F 					100 x valor recollit / valor registrat	101 x valor recogido / valor registrado	100 x collected value / registered value
HY022 	Renda disponible total de la llar abans de transferències socials, excepte prestacions per jubilació i per supervivència l'any anterior al de l'enquesta (import en cèntims d'euro)	Renta disponible total del hogar antes de transferencias sociales excepto prestaciones por jubilación y por supervivencia en el año anterior al de la encuesta (importe en céntimos de euro)	Total disposable household income before social transfers, excluding retirement and survivor benefits in the year before the survey (amount in euro cents)				
HY022_F  				97	No hi consta	No consta	No answer
HY022_F  					INDICADORS RENDA	INDICADORES RENTA	INCOME INDICATORS
HY022_F  					PRIMER DÍGIT: neta/bruta (mode de recollida de dades)	PRIMER DÍGITO: neta/bruta (modo de recogida de datos)	FIRST DIGIT: net/gross (data collection form)
HY022_F  				0	Sense renda (sense dígits següents)	Sin renta (sin dígitos siguientes)	No income (no subsequent digits)
HY022_F  				1	Neta	Neta	Net
HY022_F  				2	Bruta	Bruta	Gross
HY022_F  				3	Neta i bruta (components recollits parcialment en net i parcialment en brut)	Neta y bruta (componentes recogidos parcialmente en neto y parcialmente en bruto)	Net and gross (components collected partially net and partially gross)
HY022_F  				4	Desconeguda	Desconocida	Unknown
HY022_F  					SEGON DÍGIT: Mètode d'imputació	SEGUNDO DÍGITO: Método de imputación	SECOND DIGIT: Imputation method
HY022_F  				2	Imputació estadística	Imputación estadística	Statistical imputation
HY022_F  					DÍGITS SEGÜENTS: factor d'imputació (100 x valor recollit / valor registrat)	DÍGITOS SIGUIENTES: factor de imputación (100 x valor recogido / valor registrado)	NEXT DIGITS: imputation factor (100 x collected value / registered value)
HY022_F  					100 x valor recollit / valor registrat	101 x valor recogido / valor registrado	100 x collected value / registered value
HY023 	Renda disponible total de la llar abans de transferències socials, incloses prestacions per jubilació i per supervivència l'any anterior al de l'enquesta (import en cèntims d'euro)	Renta disponible total del hogar antes de transferencias sociales incluidas prestaciones por jubilación y por supervivencia en el año anterior al de la encuesta (importe en céntimos de euro)	Total disposable household income before social transfers, including retirement and survivor benefits in the year before the survey (amount in euro cents)				
HY023_F 				97	No hi consta	No consta	No answer
HY023_F 					INDICADORS RENDA	INDICADORES RENTA	INCOME INDICATORS
HY023_F 					PRIMER DÍGIT: neta/bruta (mode de recollida de dades)	PRIMER DÍGITO: neta/bruta (modo de recogida de datos)	FIRST DIGIT: net/gross (data collection form)
HY023_F 				0	Sense renda (sense dígits següents)	Sin renta (sin dígitos siguientes)	No income (no subsequent digits)
HY023_F 				1	Neta	Neta	Net
HY023_F 				2	Bruta	Bruta	Gross
HY023_F 				3	Neta i bruta (components recollits parcialment en net i parcialment en brut)	Neta y bruta (componentes recogidos parcialmente en neto y parcialmente en bruto)	Net and gross (components collected partially net and partially gross)
HY023_F 				4	Desconeguda	Desconocida	Unknown
HY023_F 					SEGON DÍGIT: Mètode d'imputació	SEGUNDO DÍGITO: Método de imputación	SECOND DIGIT: Imputation method
HY023_F 				2	Imputació estadística	Imputación estadística	Statistical imputation
HY023_F 					DÍGITS SEGÜENTS: factor d'imputació (100 x valor recollit / valor registrat)	DÍGITOS SIGUIENTES: factor de imputación (100 x valor recogido / valor registrado)	NEXT DIGITS: imputation factor (100 x collected value / registered value)
HY030N	Lloguer imputat (import en cèntims d'euro)	Alquiler imputado (importe en céntimos de euro)	Imputed rent (amount in euro cents)				
HY030N_F 				97	No hi consta	No consta	No answer
HY030N_F 				00	Sense valor	Sin valor 	No value
HY030N_F 				01	Amb valor	Con valor	With value
