PB010	PB020	PB030	PB040	PB040_F	PB100	PB100_F	PB110	PB110_F	PB120	PB120_F	PB130	PB130_F	PB140	PB140_F	PB150	PB150_F	PB160	PB160_F	PB170	PB170_F	PB180	PB180_F	PB190	PB190_F	PB200	PB200_F	PB210	PB210_F	PB220A	PB220A_F	PE010	PE010_F	PE020	PE020_F	PE030	PE030_F	PE040	PE040_F	PL031	PL031_F	PL015	PL015_F	PL020	PL020_F	PL025	PL025_F	PL040	PL040_F	PL051	PL051_F	PL060	PL060_F	PL073	PL073_F	PL074	PL074_F	PL075	PL075_F	PL076	PL076_F	PL080	PL080_F	PL085	PL085_F	PL086	PL086_F	PL087	PL087_F	PL089	PL089_F	PL090	PL090_F	PL100	PL100_F	PL111A	PL111A_F	PL120	PL120_F	PL130	PL130_F	PL140	PL140_F	PL150	PL150_F	PL160	PL160_F	PL170	PL170_F	PL180	PL180_F	PL190	PL190_F	PL200	PL200_F	PL211A	PL211A_F	PL211B	PL211B_F	PL211C	PL211C_F	PL211D	PL211D_F	PL211E	PL211E_F	PL211F	PL211F_F	PL211G	PL211G_F	PL211H	PL211H_F	PL211I	PL211I_F	PL211J	PL211J_F	PL211K	PL211K_F	PL211L	PL211L_F	PH010	PH010_F	PH020	PH020_F	PH030	PH030_F	PH040	PH040_F	PH050	PH050_F	PH060	PH060_F	PH070	PH070_F	PY010N	PY010N_F	PY020N	PY020N_F	PY021N	PY021N_F	PY035N	PY035N_F	PY050N	PY050N_F	PY080N	PY080N_F	PY090N	PY090N_F	PY100N	PY100N_F	PY110N	PY110N_F	PY120N	PY120N_F	PY130N	PY130N_F	PY140N	PY140N_F	PY010G	PY010G_F	PY020G	PY020G_F	PY021G	PY021G_F	PY030G	PY030G_F	PY035G	PY035G_F	PY050G	PY050G_F	PY080G	PY080G_F	PY090G	PY090G_F	PY100G	PY100G_F	PY110G	PY110G_F	PY120G	PY120G_F	PY130G	PY130G_F	PY140G	PY140G_F	P78A_U	P78B_U	PD020	PD020_F	PD030	PD030_F	PD050	PD050_F	PD060	PD060_F	PD070	PD070_F	PD080	PD080_F	PT220	PT220_F	PT230	PT230_F	PT240	PT240_F	PT020	PT020_F	PT030	PT030_F	PT040	PT040_F	PT250	PT250_F	PT210	PT210_F	PT060	PT060_F	PT070	PT070_F	PT090	PT090_F	PT100	PT100_F	PT110	PT110_F	PT120	PT120_F	PT130	PT130_F	PT140	PT140_F	PT150	PT150_F	PT160	PT160_F	PT170	PT170_F	PT180	PT180_F	PT190	PT190_F	PT260	PT260_F	PT270	PT270_F	PT280	PT280_F
2019	ES	39902	338856447	1	12	01	2019	01	9	01	01	01	1991	01	1	01		96		96	39901	01	2	01	1	01	1	01	1	01	2	01		96	2013	01	500	01	01	01		96		96		96	3	01	25	01	40	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	j	01		96	11	01	1	01	2	01	2	01		96		96	22	01	6	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	1	01	2	01	3	01		96		96		96		96	2121950	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2673160	40100	0	0	0	0	796603	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	2	01	5	01	2	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	3	01	1	01	1	01	2	01	7	01		93		93	4	01	1	01	1	01	1	01
2019	ES	40001	696983729	1	11	01	2019	01	9	01	05	01	1957	01	1	01		96		96	40002	01	2	01	2	01	1	01	1	01	1	01	50	01	2007	01	500	01	01	01		96		96		96	3	01	22	01	37	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	q	01		96	13	01	1	01	1	01	2	01		96		96	14	01	48	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	2	01	1	01	2	01		96		96	2	01		96	4031070	110100	0	0	0	0	0	0	-117170	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5363430	40100	0	0	0	0	1010876	01	0	0	-103690	40100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01		1	01	1	01	1	01	1	01	1	01	1	01		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90
2019	ES	40002	701332527	1	11	01	2019	01	14	01	11	01	1987	01	1	01		96		96	40001	01	2	01	2	01	3	01	1	01	1	01	50	01	2015	01	500	01	06	01	1	01	2	01		96	3	01	32	01		96	9	01	0	01	0	01	0	01	0	01	0	01	0	01	3	01	0	01	0	01		96		96		96		96	2	01	2	01		96		96	03	01	22	01	7	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	06	01	06	01	01	01	06	01	1	01	2	01	3	01		96		96	2	01		96	1323370	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1515790	40100	0	0	0	0	452328	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	2	01	3	01	5	01	1	01	1	01		94		94	3	01	3	01		94	3	01		94		94		94	1	01	1	01	5	01	4	01	1	01	1	01	1	01
2019	ES	39101	233666048	1	11	01	2019	01	12	01	11	01	1978	01	1	01		96		96	39102	01	2	01	1	01	3	01	1	01	1	01	50	01	2002	01	500	01	03	01		96		96		96	2	01	14	01	40	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	i	01		96	14	01		96		96	2	01		96		96	20	01	21	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	1	01	2	01	3	01		96		96		96		96	0	0	0	0	0	0	0	0	2102340	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	3093220	40100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01	1	01	2	01	1	01	2	01	3	01	1	01	1	01	1	01		97	3	01	3	01	3	01	3	01		97	3	01		93	1	01	7	01		93		93	5	01	1	01	1	01	1	01
2019	ES	39102	232809487	1	11	01	2019	01	9	01	03	01	1978	01	2	01		96		96	39101	01	2	01	1	01	1	01	1	01	2	01		96	2002	01	500	01	03	01		96		96		96	1	01	12	01	40	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	k	01		96	03	01		96		96	2	01		96		96	25	01	15	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	1	01	2	01	3	01		96		96		96		96	2934910	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3579160	40100	0	0	0	0	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	2	01	4	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	3	01	3	01		93	1	01	7	01		93		93	5	01	1	01	1	01	1	01
2019	ES	39201	228956525	1	11	01	2019	01	6	01	06	01	1943	01	1	01		96		96	39202	01	2	01	1	01	1	01	1	01	2	01		96	1967	01	500	01	07	01	1	01	2	01		96	3	01	12	01		96	0	01	0	01	0	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01		96		96		96		96	1	01	1	01		96		96		96	25	01	30	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	2	01	2	01	3	01	2	01		96	2	01		96	10302	112000	0	0	0	0	0	0	0	0	0	0	0	0	1466100	110100	0	0	0	0	0	0	0	0	12122	42000	0	0	0	0	2722	01	0	0	0	0	0	0	0	0	1530960	40100	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	3	01	1	01	1	01		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90
2019	ES	39202	228606257	1	11	01	2019	01	5	01	04	01	1944	01	2	01		96		96	39201	01	2	01	1	01	1	01	1	01	2	01		96	1967	01	500	01	07	01	1	01	2	01		96	1	01	52	01		96	0	01	0	01	0	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01		96		96		96		96		96		96		96		96		96	35	01	15	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	07	01	1	01	2	01	3	01	2	01		96	2	01		96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886690	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	985210	40100	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90		90
2019	ES	39203	230423625	1	11	01	2019	01	18	01	04	01	1974	01	1	01	39201	01	39202	01	39204	01	2	01	1	01	1	01	1	01	2	01		96	1998	01	500	01	03	01		96		96		96	1	01	12	01	40	01	0	01	0	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	m	01		96	11	01		96		96	2	01		96		96	22	01	23	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	03	01	2	01	2	01	3	01		96		96		96		96	1980950	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2353610	40100	0	0	0	0	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	2	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	3	01	3	01		93	1	01	3	01		93	5	01	6	01	1	01	1	01	1	01
2019	ES	39204	229578950	1	11	01	2019	01	7	01	06	01	1974	01	2	01		96		96	39203	01	2	01	1	01	1	01	1	01	2	01		96	1997	01	500	01	01	01		96		96		96	3	01	13	01	40	01	12	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01		96	g	01		96	11	01	1	01	1	01	2	01		96		96	25	01	20	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	01	1	01	2	01	3	01		96		96		96		96	5616430	110100	9450	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8403530	40100	12260	40100	0	0	1351673	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		3	01	3	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	2	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	3	01	7	01		93		93	7	01		93		93	6	01	1	01	1	01	1	01
2019	ES	39401	220969603	1	11	01	2019	01	9	01	11	01	1965	01	2	01		96		96		96	5	01	3	01	1	01	1	01	2	01		96	1987	01	500	01	10	01	1	01	2	01		96	3	01	26	01		96	0	01	0	01	0	01	0	01	0	01	0	01	0	01	0	01	12	01	0	01		96		96		96		96	1	01	2	01		96		96		96	23	01	5	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	10	01	2	01	2	01	3	01	2	01		96		96		96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96		1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01	3	01	2	01	1	01	1	01	2	01	2	01	1	01	1	01	3	01	3	01	3	01		93	1	01	1	01	2	01	9	01	5	01	1	01	1	01	1	01
