DB010	DB020	DB030	DB040	DB040_F	DB060	DB060_F	DB090	DB090_F	DB100	DB100_F
2020	ES	320	ES51	01	249	01	584224934	1	1	1
2020	ES	325	ES51	01	249	01	396618678	1	1	1
2020	ES	327	ES51	01	251	01	596619470	1	1	1
2020	ES	328	ES51	01	251	01	326108436	1	1	1
2020	ES	329	ES51	01	251	01	538879479	1	1	1
2020	ES	330	ES51	01	251	01	494961166	1	1	1
2020	ES	331	ES51	01	251	01	330837015	1	1	1
2020	ES	332	ES51	01	257	01	280038675	1	1	1
2020	ES	333	ES51	01	257	01	337459351	1	1	1
2020	ES	334	ES51	01	257	01	510292156	1	1	1
2020	ES	335	ES51	01	257	01	300229881	1	1	1
2020	ES	337	ES51	01	263	01	341578668	1	1	1
2020	ES	338	ES51	01	263	01	524511997	1	1	1
2020	ES	339	ES51	01	263	01	565488843	1	1	1
2020	ES	340	ES51	01	268	01	341979585	1	1	1
2020	ES	343	ES51	01	268	01	2070964756	1	1	1
2020	ES	344	ES51	01	274	01	513526155	1	1	1
2020	ES	345	ES51	01	274	01	280038675	1	1	1
2020	ES	347	ES51	01	276	01	315946743	1	1	1
2020	ES	348	ES51	01	276	01	289966778	1	1	1
2020	ES	349	ES51	01	278	01	346314771	1	1	1
2020	ES	352	ES51	01	280	01	602582632	1	1	1
2020	ES	353	ES51	01	280	01	940284023	1	1	1
2020	ES	354	ES51	01	281	01	460716909	1	1	1
2020	ES	355	ES51	01	284	01	488316367	1	1	1
2020	ES	356	ES51	01	284	01	250578600	1	1	1
2020	ES	357	ES51	01	284	01	366912941	1	1	1
2020	ES	359	ES51	01	287	01	590526562	1	1	1
2020	ES	361	ES51	01	287	01	438733587	1	1	1
2020	ES	362	ES51	01	288	01	624391797	1	1	1
2020	ES	363	ES51	01	288	01	560252551	1	1	1
2020	ES	364	ES51	01	288	01	792837220	1	2	1
2020	ES	366	ES51	01	296	01	214247269	1	1	1
2020	ES	367	ES51	01	296	01	398771724	1	1	1
2020	ES	369	ES51	01	296	01	333326530	1	1	1
2020	ES	370	ES51	01	303	01	398771724	1	1	1
2020	ES	372	ES51	01	303	01	371501536	1	1	1
2020	ES	373	ES51	01	307	01	564195170	1	1	1
2020	ES	374	ES51	01	307	01	353199242	1	1	1
2020	ES	375	ES51	01	307	01	277387292	1	1	1
2020	ES	376	ES51	01	307	01	353617003	1	1	1
2020	ES	377	ES51	01	312	01	880547320	1	2	1
2020	ES	378	ES51	01	312	01	598862794	1	2	1
2020	ES	379	ES51	01	312	01	422979985	1	2	1
2020	ES	381	ES51	01	312	01	953895234	1	2	1
2020	ES	382	ES51	01	312	01	396875253	1	2	1
2020	ES	384	ES51	01	318	01	638633549	1	1	1
2020	ES	386	ES51	01	318	01	1246137207	1	1	1
2020	ES	387	ES51	01	320	01	519805057	1	1	1
2020	ES	388	ES51	01	320	01	604201820	1	1	1
2020	ES	390	ES51	01	324	01	609254997	1	2	1
2020	ES	391	ES51	01	324	01	1116236464	1	2	1
2020	ES	392	ES51	01	324	01	1301896232	1	2	1
2020	ES	394	ES51	01	325	01	381003053	1	3	1
2020	ES	395	ES51	01	325	01	284747384	1	3	1
2020	ES	396	ES51	01	325	01	414036989	1	3	1
2020	ES	398	ES51	01	325	01	439532553	1	3	1
2020	ES	399	ES51	01	333	01	696898621	1	1	1
2020	ES	400	ES51	01	333	01	467198760	1	1	1
2020	ES	401	ES51	01	333	01	359424216	1	1	1
2020	ES	402	ES51	01	333	01	698117841	1	1	1
2020	ES	404	ES51	01	336	01	562879317	1	1	1
2020	ES	405	ES51	01	338	01	499967821	1	2	1
2020	ES	406	ES51	01	338	01	424771885	1	2	1
2020	ES	410	ES51	01	344	01	1151201941	1	1	1
2020	ES	413	ES51	01	344	01	798571971	1	1	1
2020	ES	414	ES51	01	344	01	430999823	1	1	1
2020	ES	415	ES51	01	344	01	1137716499	1	1	1
2020	ES	416	ES51	01	344	01	1484529571	1	1	1
2020	ES	417	ES51	01	344	01	461647991	1	1	1
2020	ES	419	ES51	01	349	01	864813295	1	1	1
2020	ES	420	ES51	01	349	01	897659995	1	1	1
2020	ES	425	ES51	01	349	01	543391521	1	1	1
