HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB090	HB090_F	HB100	HB100_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS070	HS070_F	HS080	HS080_F	HS090	HS090_F	HS100	HS100_F	HS110	HS110_F	HS120	HS120_F	HS130	HS130_F	HS140	HS140_F	HS150	HS150_F	HS160	HS160_F	HS170	HS170_F	HS180	HS180_F	HS190	HS190_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH031	HH031_F	HH040	HH040_F	HH050	HH050_F	HH060	HH060_F	HH061	HH061_F	HH070	HH070_F	HH081	HH081_F	HH091	HH091_F	H39A_U	H39B_U	H38A_U	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAIA	VHPOBREZA	POBRECAT	VHMATDEP	HD080	HD080_F	HI022	HI022_F	HI090	HI090_F	HI100_1	HI100_1_F	HI100_2	HI100_2_F	HI100_3	HI100_3_F	HI100_4	HI100_4_F	HI100_5	HI100_5_F	HI100_6	HI100_6_F	HI100_7	HI100_7_F	HI100_8	HI100_8_F	HI100_9	HI100_9_F	HI110_1	HI110_1_F	HI110_2	HI110_2_F	HI110_3	HI110_3_F	HI110_4	HI110_4_F	HI120	HI120_F	HC010	HC010_F	HC020	HC020_F	HC030	HC030_F	HC040	HC040_F	HC050	HC050_F	HV010	HV010_F	HV070	HV070_F	HV020	HV020_F	HV080	HV080_F
2020	ES	320	11	01	2020	1	32001	01	32001	01		96	20	01	1972000	10100	1295730	10100	-401850	10100	942608	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75507	112000	0	0	0	0	360000	110100	0	0	41850	110100	0	0	2788130	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75507	12000	0	0	0	0	360000	10100	0	0	456130	1100	2	01	3	01	3	01	2	01	2	01	2	01	1	01	1	01	2	01	2	01	1	01	1	01	20000	01	1	01	1	01	2	01	1	01	1	01	1	01	2	01	2	01	5	01	2012	01	1	01	2	01		96	60000	01	26052	01	1	01	1	01	06	06	01		96	1	05	1	1972000	2839100	0	0	1	2	01	3	01	1	01	1	01	2	01	2	01	2	01	2	01	2	01	2	01	2	01	2	01	2	01	2	01	2	01	2	01		97		97		96		96	2000	01	4	01		97		97	2	01	1	01
2020	ES	325	11	01	2020	1	32501	01	32501	01		96	16	01	2528340	10100	2528340	10100	750170	10100	0	00	814720	110100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64550	110100	0	0	2785400	20100	814720	40100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257060	1100	3	01	3	01	3	01	1	01	1	01	2	01	1	01	1	01	1	01	1	01	2	01	4	01	140000	01	2	01		96	1	01	2	01	2	01	2	01	4	01	3	01	2	01	2009	01	2	01	1	01	55000	01		96	70399	01	1	01	1	01	96	96	96		96	1	03	1	2528340	2528340	0	0	0	1	01	3	01	0	01		96		96		96		96		96		96		96		96		96		96		96		96		96		96	25000	01	10000	01	1800	01		96	4	01		96		96	1	01	1	01
2020	ES	327	11	01	2020	1	32702	01	32702	01	32701	01	12	01	6125403	12076	6125403	12076	4155393	12064	520786	01	0	0	0	0	0	0	0	0	0	0	0	0	22840	110100	0	0	0	0	0	0	0	0	0	0	55320	110100	0	0	7069679	32075	0	0	0	0	0	0	0	0	0	0	0	0	26510	40100	0	0	0	0	0	0	0	0	0	0	944276	1071		96	3	01		96	1	01	1	01	2	01	1	01	1	01	3	01	1	01	1	01	3	01	200000	01	2	01	1	01	2	01	2	01	2	01	2	01	4	01	1	01	3	01	1986	01	2	01	1	01		96	55000	01	22231	01	1	01	1	01	06	06	96		96	4	09	2.5	6125403	6646189	0	0	0	1	01	3	01	2	01	1	01	1	01	2	01	2	01	2	01	2	01	2	01	2	01	2	01	1	01	2	01	2	01	2	01	50000	01		97		96		96	5000	01	4	01		97		96	1	01	1	01
2020	ES	328	10	01	2020	1	32801	01	32801	01	32802	01	17	01	2946108	12070	2233818	12060	2233818	12060	539670	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82398	110100	0	0	0	0	0	0	0	0	0	0	0	0	3193156	32069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82398	10100	0	0	0	0	0	0	0	0	247048	1062	3	01	3	01		96	2	01	1	01	2	01	1	01	1	01	1	01	1	01	1	01	2	01	200000	01	1	01		96	2	01	2	01	1	01	1	01	3	01	2	01	3	01	1988	01	2	01	1	01		96		97	21376	01	1	01	1	01	06	06	96	512	01	2	08	1.5	2946108	3403380	0	0	0	2	01	3	01	0	01		96		96		96		96		96		96		96		96		96		96		96		96		96		96	35000	01		96		96	5000	01	4	01	12000000	01	5000000	01	1	01	1	01
2020	ES	329	11	01	2020	1	32902	01	32902	01	32901	01	17	01	3472110	10100	3472110	10100	3472110	10100	681592	01	0	0	0	0	0	0	0	0	0	0	0	0	1390	110100	0	0	0	0	0	0	0	0	0	0	1790	110100	0	0	4397860	20100	0	0	0	0	0	0	0	0	0	0	0	0	1910	40100	0	0	0	0	0	0	0	0	0	0	925750	1100		96	3	01	3	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01	100000	01	1	01	2	01	2	01	2	01	2	01	2	01	4	01	5	01	3	01	2012	01	1	01	1	01		96	65000	01	19227	01	1	01	1	01	96	96	96		96	3	11	1.8	3472110	4153702	0	0	0	1	01	3	01	1	01	1	01	2	01	2	01	2	01	2	01	2	01	2	01	2	01	2	01	1	01	2	01	2	01	2	01	31800	01	20000	01	15000	01	4000	01	5100	01	4	01		96		96	1	01	2	01
2020	ES	330	11	01	2020	1	33002	01	33002	01	33001	01	12	01	2335320	10100	2328120	10100	2328120	10100	799389	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3530	110100	0	0	2636590	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301270	1100		96	3	01		96	2	01	1	01	2	01	1	01	1	01	1	01	1	01	2	01	1	01	300000	01	1	01	2	01	2	01	2	01	2	01	2	01	4	01	5	01	4	01	1993	01	1	01	1	01		96	100000	01	27947	01	1	01	1	01	06	06	96		96	4	09	2.5	2335320	3134709	1	1	0	2	01	3	01	1	01	2	01	2	01	2	01	1	01	2	01	2	01	2	01	2	01	2	01	1	01	2	01	2	01	2	01	33000	01	48000	01		96	10000	01		96	4	01		96		96	2	01	1	01
2020	ES	331	11	01	2020	1	33102	01	33101	01	33102	01	9	01	4427670	10100	4427670	10100	4427670	10100	748989	01	0	0	0	0	0	0	0	0	0	0	0	0	34940	110100	0	0	0	0	0	0	0	0	0	0	-116370	110100	0	0	5506980	20100	0	0	0	0	0	0	0	0	0	0	0	0	39110	40100	0	0	0	0	0	0	0	0	0	0	1079310	1100		96	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01	200000	01	1	01	1	01	2	01	2	01	2	01	2	01	4	01	1	01	5	01	1989	01	2	01	1	01		96	85000	01	21580	01	1	01	1	01	96	96	96		96	4	09	2.5	4427670	5176659	0	0	0	1	01	3	01	0	01		96		96		96		96		96		96		96		96		96		96		96		96		96		96	60000	01		96	7000	01	25800	01	1	01		97		96	2	01	3	01
2020	ES	332	10	01	2020	1	33201	01	33201	01		96	16	01	1835380	10100	1835380	10100	403900	10100	310306	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300000	110100	0	0	236340	110100	0	0	2439760	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300000	10100	0	0	304380	1100	3	01	3	01		96	2	01	1	01	2	01	1	01	1	01	3	01	1	01	3	01	3	01	400000	01	1	01		96	2	01	1	01	2	01	2	01	4	01	4	01	4	01	1976	01	2	01	1	01	35000	01	110000	01	50640	01	1	01	1	01	06	06	96		96	1	06	1	1835380	2145686	0	0	0	1	01	3	01	0	01		96		96		96		96		96		96		96		96		96		96		96		96		96		96	70000	01		96	1500	01		96	4	01		96		96	1	01	1	01
2020	ES	333	10	01	2020	1	33302	01	33302	01		96	15	01	3498200	10100	3498200	10100	803570	10100	946989	01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226220	110100	0	0	4123270	20100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625070	1100		96	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	5	01	90000	01	3	01		96	2	01	2	01	1	01	2	01	4	01	1	01	6	01	2000	01	2	01	1	01		96	140000	01	29614	01	1	01	1	01	96	96	96		96	2	07	1.5	3498200	4445189	0	0	0	1	01	3	01	0	01		96		96		96		96		96		96		96		96		96		96		96		96		96		96	120000	01	50000	01		96	2000	01	1	01	35000000	01		96	2	01	4	01
2020	ES	334	10	01	2020	1	33401	01	33401	01		96	21	01	4653030	10100	4653030	10100	725230	12100	1090767	01	686190	110100	0	0	0	0	0	0	0	0	0	0	171660	110100	216000	110100	0	0	30000	112000	0	0	0	0	185160	110100	0	0	5642700	20100	686190	40100	0	0	0	0	0	0	0	0	0	0	211410	40100	216000	10100	0	0	30000	12000	0	0	0	0	959670	1100	3	01	3	01		96	1	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	4	01	160000	01	2	01		96	1	01	2	01	1	01	1	01	4	01	2	01	5	01	2009	01	2	01	1	01		96	150000	01	42616	01	1	01	1	01	96	96	96	400	01	2	07	1.5	4653030	5527797	0	0	0	1	01	3	01	0	01		96		96		96		96		96		96		96		96		96		96		96		96		96		96	60000	01	30000	01	1000	01	10000	01	1	01	31000000	01	13900000	01	1	01	4	01
2020	ES	335	10	01	2020	1	33501	01	33501	01		96	13	01	2740040	10100	2740040	10100	-318280	10100	873789	01	0	0	0	0	0	0	0	0	0	0	0	0	27320	110100	0	0	0	0	0	0	200000	110100	0	0	145600	110100	0	0	3840560	20100	0	0	0	0	0	0	0	0	0	0	0	0	31490	40100	0	0	0	0	0	0	200000	10100	0	0	900520	1100		96	3	01	3	01	1	01	1	01	1	01	1	01	1	01	1	01	1	01	3	01	4	01	200000	01	2	01	2	01	1	01	1	01	1	01	1	01	4	01	1	01	4	01	2000	01	2	01	1	01		96	120000	01	18989	01	1	01	1	01	96	96	96		96	1	06	1	2740040	3613829	0	0	0	1	01	3	01	0	01		96		96		96		96		96		96		96		96		96		96		96		96		96		96	100000	01	25000	01	15000	01		96	4	01	30000000	01		96	1	01	3	01
