RB010	RB020	RB030	DB030	RB050	RB050_F	RB070	RB070_F	RB080	RB080_F	RB090	RB090_F	RB200	RB200_F	RB210	RB210_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	AROPE
2020	ES	293803	2938	482019343	01	12	01	1993	01	2	01	1	01	1	01	293801	01	293802	01		96		96		96		96		96		96		96		96	00	0	0
2020	ES	293901	2939	549191059	01	03	01	1938	01	2	01	1	01	4	01		96		96		96		96		96		96		96		96		96		96	96	1	1
2020	ES	294001	2940	390585463	01	08	01	1972	01	2	01	1	01	1	01		96		96		96		96		96		96		96		96		96		96	00	1	1
2020	ES	294002	2940	390585463	01	06	01	2002	01	2	01	1	01	4	01		96	294001	01		96		96		96		96		96		96		96		96	00	1	1
2020	ES	294003	2940	390585463	01	08	01	2007	01	1	01	1	01	4	01		96	294001	01		96		96	35	01	0	01	0	01	0	01	0	01		96	00	1	1
2020	ES	294004	2940	390585463	01	12	01	1965	01	1	01	1	01	2	01		96		96		96		96		96		96		96		96		96		96	00	1	1
2020	ES	294101	2941	377967464	01	10	01	1943	01	1	01	1	01	3	01		96		96	294102	01		96		96		96		96		96		96		96	96	0	0
2020	ES	294102	2941	377967464	01	04	01	1944	01	2	01	1	01	3	01		96		96	294101	01		96		96		96		96		96		96		96	96	0	0
2020	ES	294201	2942	382972785	01	12	01	1948	01	2	01	1	01	4	01		96		96	294202	01		96		96		96		96		96		96		96	96	0	0
2020	ES	294202	2942	382972785	01	11	01	1945	01	1	01	1	01	3	01		96		96	294201	01		96		96		96		96		96		96		96	96	0	0
2020	ES	294301	2943	594523797	01	04	01	1972	01	2	01	1	01	1	01		96		96	294302	01		96		96		96		96		96		96		96	00	0	0
2020	ES	294302	2943	594523797	01	08	01	1971	01	1	01	1	01	1	01		96		96	294301	01		96		96		96		96		96		96		96	00	0	0
2020	ES	294303	2943	594523797	01	07	01	1999	01	1	01	1	01	4	01	294302	01	294301	01		96		96		96		96		96		96		96		96	00	0	0
2020	ES	294304	2943	594523797	01	07	01	2001	01	1	01	1	01	4	01	294302	01	294301	01		96		96		96		96		96		96		96		96	00	0	0
2020	ES	294401	2944	439100617	01	11	01	1983	01	1	01	1	01	1	01		96		96	294402	01		96		96		96		96		96		96		96	00	0	0
2020	ES	294402	2944	439100617	01	04	01	1984	01	2	01	1	01	2	01		96		96	294401	01		96		96		96		96		96		96		96	00	0	0
2020	ES	294403	2944	439100617	01	06	01	2015	01	2	01	2	01	4	01	294401	01	294402	01		96	35	01		96	0	01	0	01	0	01	0	01	485185664	01	00	0	0
2020	ES	294801	2948	475144121	01	12	01	1936	01	1	01	1	01	3	01		96		96	294802	01		96		96		96		96		96		96		96	96	0	0
2020	ES	294802	2948	475144121	01	03	01	1939	01	2	01	1	01	4	01		96		96	294801	01		96		96		96		96		96		96		96	96	0	0
2020	ES	295201	2952	616405476	01	11	01	1952	01	1	01	1	01	3	01		96		96		96		96		96		96		96		96		96		96	96	0	0
2020	ES	295601	2956	318431794	01	02	01	1976	01	2	01	1	01	1	01		96		96	295602	01		96		96		96		96		96		96		96	00	0	0
2020	ES	295602	2956	318431794	01	06	01	1974	01	1	01	1	01	1	01		96		96	295601	01		96		96		96		96		96		96		96	00	0	0
2020	ES	295603	2956	318431794	01	06	01	2008	01	2	01	1	01	4	01	295602	01	295601	01		96		96	35	01	0	01	0	01	0	01	0	01	317409220	01	00	0	0
2020	ES	295604	2956	318431794	01	10	01	2010	01	2	01	1	01	4	01	295602	01	295601	01		96		96	35	01	0	01	0	01	0	01	0	01	303846720	01	00	0	0
2020	ES	296001	2960	303816815	01	02	01	1950	01	1	01	1	01	3	01		96		96	296002	01		96		96		96		96		96		96		96	96	0	0
2020	ES	296002	2960	303816815	01	11	01	1954	01	2	01	1	01	3	01		96		96	296001	01		96		96		96		96		96		96		96	96	0	0
2020	ES	296101	2961	1128539132	01	07	01	1988	01	2	01	1	01	1	01		96		96	296102	01		96		96		96		96		96		96		96	00	0	0
2020	ES	296102	2961	1128539132	01	10	01	1984	01	1	01	1	01	1	01		96		96	296101	01		96		96		96		96		96		96		96	00	0	0
