HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB100	HB100_F	HB120	HB120_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS022	HS022_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS090	HS090_F	HS110	HS110_F	HS120	HS120_F	HS150	HS150_F	HD080	HD080_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH050	HH050_F	HH060	HH060_F	HH070	HH070_F	HI010	HI010_F	HI020	HI020_F	HI030	HI030_F	HI040	HI040_F	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAAI	VHPOBREZA	VHMATDEP	HCH010	HCH010_F	HCH020	HCH020_F	HCH030	HCH030_F	HCH040	HCH040_F	HD100	HD100_F	HD110	HD110_F	HD120	HD120_F	HD140	HD140_F	HD150	HD150_F	HD160	HD160_F	HD170	HD170_F	HD180	HD180_F	HD190	HD190_F	HD200	HD200_F	HD210	HD210_F	HD220	HD220_F	HD225	HD225_F	HD240	HD240_F	HK010	HK010_F	HK020	HK020_F	HI012	HI012_F	HY150_1	HY150_1_F	HY150_2	HY150_2_F	HY150_3	HY150_3_F	HY150_4	HY150_4_F	POBRECAT
2021	ES	362	10	1	2021	1	36201	1	36202	1	15	1	2	1	10722970	21	10722970	21	10722970	21	770998	56	82430	21	0	11	0	11	0	11	0	16	0	16	44250	21	0	16	0	11	72800	11	0	16	0	16	-435720	21	0	16	16132430	25	82430	25	0	15	0	15	0	15	0	16	0	16	54630	25	0	16	0	15	72800	11	0	16	0	16	5336660	25	 	96	3	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	4	1	 	96	1	1	3	1	1	1	2	1	1	1	          	96	54431	1	2	1	 	96	 	96	2	1	 	96	2	8	15	10722970	11493968	0	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	 	96	2	1	2	1	2	1	2	1	0
2021	ES	363	10	1	2021	1	36301	1	36301	1	 	97	2	1	1732200	21	1732200	21	480420	21	574671	56	0	11	0	11	0	11	0	11	0	16	0	16	412220	21	0	16	0	11	28000	11	0	16	0	16	-96200	21	0	16	1760680	25	0	15	0	15	0	15	0	15	0	16	0	16	508900	25	0	16	0	15	28000	11	0	16	0	16	480	25	 	96	3	1	2	1	 	96	2	1	1	1	2	1	3	1	3	1	2	1	 	96	1	1	4	1	1	1	5	1	2	1	          	96	19447	1	2	1	 	96	 	96	2	1	 	96	2	7	15	1732200	2306871	0	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	 	96	2	1	2	1	2	1	2	1	0
2021	ES	365	8	1	2021	1	36501	1	36501	1	20	1	1	1	2706140	21	2706140	21	-375000	11	0	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	16	0	11	0	11	0	16	0	16	375000	21	0	16	3763530	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	16	0	15	0	11	0	16	0	16	1057390	25	 	97	 	97	2	1	 	96	1	1	1	1	1	1	1	1	3	1	5	1	 	96	1	1	4	1	3	1	3	1	1	1	82800	1	98522	1	2	1	 	96	 	96	2	1	 	96	1	6	10	2706140	2706140	0	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	 	96	2	1	2	1	2	1	2	1	0
2021	ES	366	11	1	2021	1	36601	1	36602	1	12	1	6	1	14561990	21	14561990	21	14381990	21	1121300	56	0	11	0	11	0	11	0	11	0	16	0	16	2510	21	5400	16	0	11	120000	11	0	16	0	16	2842930	21	0	16	21225270	25	0	15	0	15	0	15	0	15	0	16	0	16	3100	25	5400	16	0	15	120000	11	0	16	0	16	6543280	25	3	1	3	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	5	1	2	1	1	1	4	1	2	1	5	1	1	1	          	96	36538	1	1	1	2	1	 	96	1	1	1000	1	6	14	31	14561990	15677890	0	0	 	96	 	96	2	1	 	96	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	0	1	1	1	2	1	2	1	2	1	2	1	2	1	0
2021	ES	367	9	1	2021	1	36701	1	36702	1	9	1	2	1	4653520	21	4653520	21	729950	21	784671	56	420030	21	0	11	0	11	0	11	0	16	0	16	21090	21	0	16	0	11	15000	11	0	16	0	16	332830	21	0	16	5517610	25	420030	25	0	15	0	15	0	15	0	16	0	16	26040	25	0	16	0	15	15000	11	0	16	0	16	849090	25	 	96	3	1	2	1	 	96	1	1	1	1	1	1	1	1	1	1	6	1	 	96	1	1	4	1	1	1	5	1	1	1	          	96	18785	1	2	1	 	96	 	96	2	1	 	96	2	7	15	4653520	5438191	0	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	 	96	2	1	2	1	2	1	2	1	0
2021	ES	368	11	1	2021	1	36801	1	36801	1	10	1	2	1	2332780	21	1604600	21	1604600	21	1011126	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	16	0	11	36000	11	0	16	0	16	38860	21	0	16	2843902	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	16	0	15	36000	11	0	16	0	16	475121	25	 	96	3	1	2	1	 	96	1	1	1	1	1	1	1	1	3	1	5	1	 	96	1	1	4	1	1	1	4	1	1	1	          	96	23077	1	2	1	 	96	 	96	2	1	 	96	2	8	15	2332780	3343907	0	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	 	96	2	1	1	1	2	1	2	1	0
2021	ES	369	9	1	2021	1	36901	1	36901	1	7	1	1	1	908230	11	648440	11	648440	11	0	56	0	11	0	11	59790	21	0	11	600000	16	600000	16	0	21	0	16	0	11	0	11	0	16	0	16	0	11	0	16	912560	15	0	15	0	15	59790	25	0	15	600000	16	600000	16	0	25	0	16	0	15	0	11	0	16	0	16	4330	15	3	1	3	1	2	1	3	1	2	1	1	1	2	1	1	1	2	1	2	1	 	96	2	1	4	1	3	1	2	1	1	1	84707	1	96619	1	2	1	 	96	 	96	 	97	 	96	1	5	10	908230	908230	1	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	 	96	2	1	2	1	2	1	2	1	1
2021	ES	370	9	1	2021	1	37001	1	37002	1	16	1	4	1	6319140	21	5316880	21	5316880	21	661598	56	0	11	0	11	0	11	0	11	0	16	0	16	26490	21	0	16	0	11	51000	11	0	16	0	16	-121130	21	0	16	7507150	25	0	15	0	15	0	15	0	15	0	16	0	16	32700	25	0	16	0	15	51000	11	0	16	0	16	1137010	25	 	96	3	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	 	96	1	1	4	1	1	1	5	1	1	1	          	96	34489	1	3	1	 	96	9	1	1	1	 	96	4	9	25	6319140	6980738	0	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	1	1	2	1	1	1	2	1	2	1	0
2021	ES	372	10	1	2021	1	37201	1	37201	1	25	1	4	1	5409760	21	5409760	21	5409760	21	41721	56	0	11	0	11	0	11	0	11	0	16	0	16	15100	21	0	16	0	11	0	11	0	16	0	16	-88230	21	30000	16	7887400	25	0	15	0	15	0	15	0	15	0	16	0	16	18640	25	0	16	0	15	0	11	0	16	0	16	2477640	25	3	1	3	1	2	1	 	96	1	1	1	1	1	1	1	1	1	1	5	1	 	96	1	1	4	1	4	1	5	1	1	1	89235	1	108741	1	2	1	 	96	 	96	2	1	 	96	4	10	21	5409760	5451481	0	0	1	1	5	1	 	96	 	96	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	0	1	 	96	2	1	2	1	2	1	2	1	0
2021	ES	373	10	1	2021	1	37301	1	37301	1	31	1	2	1	3293990	21	3293990	21	202640	21	774998	56	8470	21	0	11	0	11	0	11	0	16	0	16	0	21	0	16	0	11	61200	11	0	16	0	16	-255370	21	0	16	3877900	25	8470	25	0	15	0	15	0	15	0	16	0	16	0	25	0	16	0	15	61200	11	0	16	0	16	522710	25	 	96	3	1	2	1	 	96	1	1	1	1	1	1	1	1	1	1	4	1	 	96	1	1	4	1	1	1	5	1	1	1	          	96	37481	1	2	1	 	96	 	96	3	1	 	96	2	7	15	3293990	4068988	0	0	 	95	 	95	 	95	 	95	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	96	 	95	 	95	 	96	 	96	 	96	0	1	 	96	2	1	2	1	2	1	2	1	0
