RB010	RB020	RB030	RB050	RB050_F	RB080	RB080_F	RB081	RB081_F	RB082	RB082_F	RB090	RB090_F	RB200	RB200_F	RB211	RB211_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RB280	RB280_F	RB290	RB290_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	VRMATSOCDEP	VRLOWJOB_N	VREU2020_N	RCH010	RCH010_F	RCH020	RCH020_F	RK050	RK050_F	RK060	RK060_F	RK070	RK070_F	RK080	RK080_F	AROPE	AROPE_N
2021	ES	36201	253705331	1	1962	1	58	1	59	1	1	1	1	1	1	1	 	96	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	36202	253705331	1	1962	1	58	1	58	1	2	1	1	1	1	1	 	96	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	36301	326304168	1	1935	1	87	1	88	1	2	1	1	1	6	1	 	96	 	96	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	1	9	1	 	96	 	96	 	96	 	96	 	96	 	96	0	1
2021	ES	36302	326304168	1	1960	1	60	1	61	1	1	1	1	1	4	1	 	96	36301	1	 	96	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	1	1	 	96	 	96	 	96	 	96	 	96	 	96	0	1
2021	ES	36501	621467323	1	1949	1	71	1	72	1	2	1	1	1	3	1	 	96	 	96	 	96	3	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	36601	595111788	1	1983	1	37	1	38	1	2	1	1	1	1	1	 	96	 	96	36602	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	36602	595111788	1	1975	1	45	1	45	1	1	1	1	1	1	1	 	96	36603	1	36601	1	2	1	2	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	36603	595111788	1	1942	1	78	1	79	1	2	1	1	1	3	1	 	96	 	96	 	96	2	1	2	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	36604	595111788	1	2015	1	5	1	6	1	2	1	1	1	5	1	36602	1	36601	1	 	96	1	1	1	1	 	96	40	1	0	1	0	1	0	1	0	1	570593276	1	0	0	0	0	0	1	1	3	1	1	1	1	1	 	96	 	96	0	0
2021	ES	36605	595111788	1	2018	1	2	1	3	1	2	1	1	1	5	1	36602	1	36601	1	 	96	1	1	1	1	40	1	 	96	0	1	0	1	0	1	0	1	660313476	1	0	0	0	0	0	1	1	3	1	1	1	1	1	 	96	 	96	0	0
2021	ES	36606	595111788	1	2001	1	19	1	20	1	1	1	1	1	5	1	36602	1	 	96	 	96	2	1	2	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	36701	401003472	1	1945	1	75	1	75	1	1	1	1	1	3	1	 	96	 	96	36702	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	36702	401003472	1	1944	1	76	1	76	1	2	1	1	1	3	1	 	96	 	96	36701	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	9	0	0	9	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	36801	205849501	1	1968	1	52	1	52	1	1	1	1	1	1	1	 	96	 	96	36802	1	2	1	2	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	36802	205849501	1	1982	1	38	1	39	1	1	1	1	1	1	1	 	96	 	96	36801	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	36901	386127563	1	1981	1	39	1	40	1	2	1	1	1	1	1	 	96	 	96	 	96	3	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	1	1	0	1	1	 	96	 	96	 	96	 	96	 	96	 	96	1	1
2021	ES	37001	372371002	1	1962	1	58	1	58	1	1	1	1	1	1	1	 	96	 	96	37002	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
2021	ES	37002	372371002	1	1962	1	58	1	59	1	2	1	1	1	1	1	 	96	 	96	37001	1	1	1	1	1	 	96	 	96	 	96	 	96	 	96	 	96		96	0	0	0	0	0	 	96	 	96	 	96	 	96	 	96	 	96	0	0
