HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB100	HB100_F	HB120	HB120_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS022	HS022_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS090	HS090_F	HS110	HS110_F	HS120	HS120_F	HS150	HS150_F	HD080	HD080_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH050	HH050_F	HH060	HH060_F	HH070	HH070_F	HI010	HI010_F	HI020	HI020_F	HI030	HI030_F	HI040	HI040_F	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAIA	VHPOBREZA	VHMATDEP	HS200	HS200_F	HS210	HS210_F	HS220	HS220_F	POBRECAT
2022	ES	437	6	1	2022	1	43701	1	43701	1	8	1	4	1	8827940	21	7831310	21	7831310	21	0	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	0	16	0	16	108480	21	10000	16	11468920	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	0	16	0	16	2640980	25	2	1	3	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	3	1	6	1	1	1	150000	1	155421	1	2	1		96		96	3	1		96	4	14	25	8827940	8827940	0	0		96		96	2	1	0
2022	ES	439	5	1	2022	1	43901	1	43901	1	5	1	4	1	3694720	21	3694720	21	3694720	21	829060	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	141972	11	0	11	100000	11	0	16	0	16	-205490	21	0	16	4931140	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	141972	11	0	15	100000	11	0	16	0	16	1136420	25	3	1	3	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1	3	1	2	1	4	1	1	1		96	44508	1	3	1		96	9	1	2	1	50000	1	4	12	21	3694720	4381807	0	0		96	2	1	2	1	0
2022	ES	440	5	1	2022	1	44001	1	44001	1	19	1	1	1	1239880	21	1239880	21	155490	21	440134	56	0	11	0	11	0	11	0	11	0	16	0	16	103200	21	23508	51	0	11	80000	11	0	16	0	16	-132290	21	0	16	1319050	25	0	15	0	15	0	15	0	15	0	16	0	16	127410	25	23508	51	0	15	80000	11	0	16	0	16	-830	25	3	1	3	1	2	1		96	2	1	1	1	1	1	3	1	1	1	3	1		96	3	1	3	1	2	1	4	1	2	1		96	24053	1	2	1		96		96		97		96	1	6	10	1239880	1656506	0	0		96	1	1	3	1	0
2022	ES	441	7	1	2022	1	44102	1	44102	1		97	2	1	6821305	21	6821305	21	438795	21	1328813	56	10580	21	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	47924	11	0	16	0	16	-476140	21	0	16	7132760	25	10580	25	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	47924	11	0	16	0	16	263530	25		96	3	1	2	1		96	1	1	1	1	1	1	1	1	1	1	5	1		96	3	1	1	1	1	1	7	1	1	1		96	28004	1	2	1		96		96	2	1		96	2	7	15	6821305	8150119	0	0	3	1	1	1	2	1	0
2022	ES	442	7	1	2022	1	44201	1	44202	1	7	1	3	1	2980840	21	2764590	21	2764590	21	861880	56	0	11	120000	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	0	16	0	16	-311780	21	0	16	3281410	25	0	15	120000	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	0	16	0	16	300570	25		96	3	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1	4	1	5	1	5	1	1	1		96	17843	1	1	1	4	1		96	2	1		96	3	11	18	2980840	3842720	0	0	2	1		96		96	0
2022	ES	445	6	1	2022	1	44501	1	44501	1	20	1	5	1	7767202	21	5852132	21	5852132	21	619544	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	62000	11	0	16	0	16	-34300	21	0	16	8826095	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	62000	11	0	16	0	16	996892	25		96	3	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1	4	1	1	1	6	1	1	1		96	26410	1	2	1		96		96	2	1		96	5	14	30	7767202	8386746	0	0	3	1		96	3	1	0
2022	ES	446	7	1	2022	1	44601	1	44601	1	12	1	1	1	1451480	21	1272620	21	1272620	21	0	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	240000	16	240000	16	-52310	21	0	16	2003700	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	240000	16	240000	16	312220	25	2	1	3	1	2	1		96	2	1	1	1	2	1	3	1	3	1	1	1		96	2	1	3	1	3	1	3	1	2	1	58446	1	62664	1	3	1		96	4	1	3	1		96	1	2	10	1451480	1451480	0	1		96		96	3	1	0
2022	ES	447	7	1	2022	1	44701	1	44701	1	15	1	1	1	2214586	21	-32575	21	-32575	21	712166	56	0	11	0	11	244982	51	0	11	0	16	0	16	0	21	83852	11	0	11	32575	11	0	16	0	16	0	21	0	16	2247162	25	0	15	0	15	244982	55	0	15	0	16	0	16	0	25	83852	11	0	15	32575	11	0	16	0	16	0	25	3	1	3	1	2	1		96	1	1	1	1	1	1	3	1	3	1	4	1		96	2	1	3	1	2	1	6	1	1	1		96	33075	1	2	1		96		96	2	1	40000	1	1	2	10	2214586	2842900	0	0	1	1		96	2	1	0
2022	ES	448	7	1	2022	1	44801	1	44802	1	9	1	2	1	2485870	21	799870	21	799870	21	0	56	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	0	11	420000	16	0	16	54010	21	0	16	3364950	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	0	11	420000	16	0	16	459080	25	2	1	3	1	2	1	3	1	2	1	1	1	2	1	3	1	1	1	3	1	2	1	2	1	2	1	3	1	3	1	2	1	69879	1	92915	1	3	1		96	5	1		97		96	2	8	15	2485870	2485870	0	1		96	2	1	2	1	0
2022	ES	450	6	1	2022	1	45001	1	45001	1	25	1	1	1	3180010	21	3180010	21	805840	21	577247	56	0	11	0	11	0	11	0	11	0	16	0	16	936190	21	0	11	0	11	168300	11	0	16	0	16	-37950	21	0	16	4015760	25	0	15	0	15	0	15	0	15	0	16	0	16	1178910	25	0	11	0	15	168300	11	0	16	0	16	667450	25		96	3	1	2	1		96	1	1	1	1	1	1	1	1	3	1	5	1		96	1	1	4	1	1	1	3	1	1	1		96	15139	1	2	1		96		96	2	1		96	1	3	10	3180010	3757257	0	0	3	1		96	3	1	0
