DB010	DB020	DB030	DB040	DB040_F	DB090	DB090_F	DB100	DB100_F
2023	ES	702	ES51	1	134551999	1	2	1
2023	ES	703	ES51	1	181936389	1	2	1
2023	ES	704	ES51	1	269945577	1	2	1
2023	ES	705	ES51	1	81049586	1	2	1
2023	ES	706	ES51	1	154213251	1	2	1
2023	ES	707	ES51	1	56123511	1	1	1
2023	ES	708	ES51	1	172071535	1	1	1
2023	ES	709	ES51	1	197492289	1	1	1
2023	ES	710	ES51	1	226427207	1	1	1
2023	ES	711	ES51	1	103639150	1	1	1
2023	ES	712	ES51	1	282042761	1	1	1
2023	ES	713	ES51	1	251969880	1	1	1
2023	ES	715	ES51	1	111129421	1	1	1
2023	ES	716	ES51	1	270633646	1	1	1
2023	ES	717	ES51	1	115602080	1	2	1
2023	ES	718	ES51	1	131074352	1	1	1
2023	ES	720	ES51	1	331176841	1	1	1
2023	ES	722	ES51	1	126687642	1	1	1
2023	ES	723	ES51	1	162136369	1	1	1
2023	ES	724	ES51	1	150501098	1	1	1
2023	ES	725	ES51	1	224510378	1	1	1
2023	ES	726	ES51	1	207002185	1	1	1
2023	ES	727	ES51	1	273589676	1	1	1
2023	ES	728	ES51	1	181936549	1	1	1
2023	ES	729	ES51	1	207002185	1	1	1
2023	ES	730	ES51	1	259803618	1	1	1
2023	ES	731	ES51	1	207002185	1	1	1
2023	ES	732	ES51	1	244418108	1	1	1
2023	ES	733	ES51	1	243258925	1	1	1
2023	ES	734	ES51	1	198028642	1	1	1
2023	ES	735	ES51	1	126687642	1	1	1
2023	ES	736	ES51	1	143431028	1	1	1
2023	ES	737	ES51	1	217278772	1	1	1
2023	ES	738	ES51	1	167910264	1	1	1
2023	ES	739	ES51	1	150226373	1	1	1
2023	ES	741	ES51	1	211428272	1	1	1
2023	ES	742	ES51	1	1375937215	1	1	1
2023	ES	743	ES51	1	139844721	1	1	1
2023	ES	744	ES51	1	260876411	1	1	1
2023	ES	745	ES51	1	149257423	1	1	1
2023	ES	747	ES51	1	123617995	1	1	1
2023	ES	748	ES51	1	257456907	1	1	1
2023	ES	749	ES51	1	149850606	1	1	1
2023	ES	750	ES51	1	358540654	1	1	1
2023	ES	751	ES51	1	166914391	1	1	1
2023	ES	752	ES51	1	124519590	1	1	1
2023	ES	753	ES51	1	247147294	1	1	1
2023	ES	754	ES51	1	166914391	1	1	1
2023	ES	755	ES51	1	175271258	1	1	1
2023	ES	756	ES51	1	283268962	1	2	1
2023	ES	757	ES51	1	213248849	1	1	1
2023	ES	758	ES51	1	219640973	1	1	1
2023	ES	759	ES51	1	115441922	1	1	1
2023	ES	760	ES51	1	273589676	1	1	1
2023	ES	761	ES51	1	127618461	1	1	1
2023	ES	762	ES51	1	215185019	1	1	1
2023	ES	763	ES51	1	145723948	1	1	1
2023	ES	764	ES51	1	120768941	1	1	1
2023	ES	765	ES51	1	126687642	1	1	1
2023	ES	766	ES51	1	593586354	1	1	1
2023	ES	767	ES51	1	238276827	1	1	1
2023	ES	768	ES51	1	774242139	1	1	1
2023	ES	769	ES51	1	120079814	1	1	1
2023	ES	770	ES51	1	522916630	1	1	1
2023	ES	771	ES51	1	242252805	1	1	1
2023	ES	772	ES51	1	166914391	1	1	1
2023	ES	773	ES51	1	144463272	1	1	1
2023	ES	774	ES51	1	142855317	1	1	1
2023	ES	775	ES51	1	161168277	1	1	1
2023	ES	777	ES51	1	117969514	1	1	1
2023	ES	778	ES51	1	484684311	1	1	1
2023	ES	780	ES51	1	390124079	1	1	1
2023	ES	781	ES51	1	133913179	1	1	1
2023	ES	782	ES51	1	191573261	1	1	1
2023	ES	783	ES51	1	350423266	1	1	1
2023	ES	784	ES51	1	91909360	1	1	1
2023	ES	785	ES51	1	358479812	1	1	1
2023	ES	786	ES51	1	498432528	1	1	1
2023	ES	788	ES51	1	151078597	1	3	1
2023	ES	789	ES51	1	135478982	1	3	1
2023	ES	790	ES51	1	228056568	1	2	1
2023	ES	791	ES51	1	135527178	1	2	1
2023	ES	792	ES51	1	224313586	1	2	1
2023	ES	793	ES51	1	107429216	1	2	1
2023	ES	794	ES51	1	311896258	1	2	1
2023	ES	795	ES51	1	140879253	1	3	1
2023	ES	796	ES51	1	170388739	1	3	1
2023	ES	797	ES51	1	69638372	1	3	1
2023	ES	799	ES51	1	155296008	1	3	1
2023	ES	800	ES51	1	87940897	1	1	1
2023	ES	801	ES51	1	440941824	1	1	1
2023	ES	802	ES51	1	140887431	1	1	1
2023	ES	804	ES51	1	155419508	1	1	1
2023	ES	805	ES51	1	161337569	1	1	1
2023	ES	806	ES51	1	141969815	1	1	1
2023	ES	807	ES51	1	355727261	1	1	1
2023	ES	808	ES51	1	94663538	1	1	1
2023	ES	809	ES51	1	236197024	1	1	1
2023	ES	811	ES51	1	88789905	1	1	1
2023	ES	812	ES51	1	97180707	1	1	1
2023	ES	813	ES51	1	137026938	1	1	1
2023	ES	814	ES51	1	288019250	1	1	1
2023	ES	815	ES51	1	230094982	1	1	1
2023	ES	816	ES51	1	115583356	1	1	1
2023	ES	817	ES51	1	173080694	1	2	1
2023	ES	818	ES51	1	69303034	1	2	1
2023	ES	819	ES51	1	109039507	1	2	1
2023	ES	821	ES51	1	130627830	1	1	1
2023	ES	823	ES51	1	311896258	1	2	1
2023	ES	824	ES51	1	119393054	1	2	1
2023	ES	825	ES51	1	585910977	1	2	1
2023	ES	826	ES51	1	164878884	1	2	1
2023	ES	827	ES51	1	122338877	1	2	1
2023	ES	828	ES51	1	129905513	1	2	1
2023	ES	829	ES51	1	171591007	1	2	1
2023	ES	831	ES51	1	63992265	1	2	1
2023	ES	832	ES51	1	81049586	1	2	1
2023	ES	833	ES51	1	200560932	1	3	1
2023	ES	834	ES51	1	151078597	1	3	1
2023	ES	835	ES51	1	138904479	1	3	1
2023	ES	836	ES51	1	126909701	1	1	1
2023	ES	837	ES51	1	177530015	1	1	1
2023	ES	838	ES51	1	259687840	1	1	1
2023	ES	839	ES51	1	347379269	1	1	1
2023	ES	840	ES51	1	139325177	1	1	1
2023	ES	841	ES51	1	486077936	1	1	1
2023	ES	843	ES51	1	139059415	1	1	1
2023	ES	845	ES51	1	179554332	1	1	1
2023	ES	846	ES51	1	104022933	1	1	1
2023	ES	847	ES51	1	351642774	1	1	1
2023	ES	848	ES51	1	163031967	1	1	1
2023	ES	849	ES51	1	99333938	1	1	1
2023	ES	850	ES51	1	190980673	1	1	1
2023	ES	851	ES51	1	147525277	1	1	1
2023	ES	852	ES51	1	101144252	1	1	1
2023	ES	853	ES51	1	112373249	1	1	1
2023	ES	855	ES51	1	540601490	1	1	1
2023	ES	856	ES51	1	137085391	1	1	1
2023	ES	857	ES51	1	156574043	1	1	1
2023	ES	858	ES51	1	156574043	1	2	1
2023	ES	859	ES51	1	237380774	1	2	1
2023	ES	861	ES51	1	171976086	1	2	1
2023	ES	862	ES51	1	114881999	1	2	1
2023	ES	863	ES51	1	156574043	1	2	1
