HB010	HB020	HB030	HB050	HB050_F	HB060	HB060_F	HB070	HB070_F	HB080	HB080_F	HB100	HB100_F	HB120	HB120_F	HY020	HY020_F	HY022	HY022_F	HY023	HY023_F	HY030N	HY030N_F	HY040N	HY040N_F	HY050N	HY050N_F	HY060N	HY060N_F	HY070N	HY070N_F	HY080N	HY080N_F	HY081N	HY081N_F	HY090N	HY090N_F	HY100N	HY100N_F	HY110N	HY110N_F	HY120N	HY120N_F	HY130N	HY130N_F	HY131N	HY131N_F	HY145N	HY145N_F	HY170N	HY170N_F	HY010	HY010_F	HY040G	HY040G_F	HY050G	HY050G_F	HY060G	HY060G_F	HY070G	HY070G_F	HY080G	HY080G_F	HY081G	HY081G_F	HY090G	HY090G_F	HY100G	HY100G_F	HY110G	HY110G_F	HY120G	HY120G_F	HY130G	HY130G_F	HY131G	HY131G_F	HY140G	HY140G_F	HS011	HS011_F	HS021	HS021_F	HS022	HS022_F	HS031	HS031_F	HS040	HS040_F	HS050	HS050_F	HS060	HS060_F	HS090	HS090_F	HS110	HS110_F	HS120	HS120_F	HS150	HS150_F	HD080	HD080_F	HH010	HH010_F	HH021	HH021_F	HH030	HH030_F	HH050	HH050_F	HH060	HH060_F	HH070	HH070_F	CUOTAHIP	CUOTAHIP_F	HX040	HX060	HX240	VHRENTAA	VHRENTAAIA	VHPOBREZA	VHMATDEP	HI010	HI010_F	HI020	HI020_F	HI030	HI030_F	HI040	HI040_F	POBRECAT	HS160	HS160_F	HS170	HS170_F	HC020	HC020_F	HC080	HC080_F	HY030G	HY030G_F	HH040	HH040_F	HS140	HS140_F	HS180	HS180_F	HS190	HS190_F	HC001	HC001_F	HC002	HC002_F	HC003	HC003_F	HC060	HC060_F	HC070	HC070_F
2023	ES	702	3	1	2023	1	70201	1	70201	1	12	1	2	1	2597520	21	2597520	21	-60060	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	1080	21	0	11	0	11	40000	11	0	16	0	16	21140	21	0	16	3237810	25	0	15	0	15	0	15	0	15	0	16	0	16	1610	25	0	11	0	15	40000	11	0	16	0	16	600290	25	NA	96	3	1	2	1	NA	96	2	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	4	1	1	1	3	1	1	1	NA	96	28927	1	NA	96	2	7	1.5	2597520	3305099	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	80	1	2	1	707580	1	2	1	2	1	2	1	1	1	3	1	2	1	4	1	1	1	2	1
2023	ES	703	4	1	2023	1	70301	1	70301	1	9	1	5	1	8494045	21	8494045	21	8494045	21	NA	-7	266755	51	0	11	0	11	0	11	0	16	0	16	8130	21	360000	11	0	11	2e+05	11	0	16	0	16	-7720	21	0	16	12066955	25	266755	55	0	15	0	15	0	15	0	16	0	16	10040	25	360000	11	0	15	2e+05	11	0	16	0	16	3372910	25	3	1	3	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1	2	1	2	1	6	1	1	1	NA	96	73169	1	110000	1	5	13	2.8	8494045	8888711	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	150	1	4	1	754667	1	2	1	1	1	2	1	1	1	3	1	2	1	4	1	1	1	1	1
2023	ES	704	4	1	2023	1	70401	1	70402	1	33	1	2	1	5395440	21	3905260	21	2183450	11	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	73600	11	0	16	0	16	276280	21	0	16	6301330	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	73600	11	0	16	0	16	832290	25	NA	96	3	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	2	1	1	1	4	1	1	1	NA	96	27427	1	NA	96	2	7	1.5	5395440	6150106	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	258	1	3	1	754667	1	1	1	1	1	2	1	1	1	3	1	2	1	4	1	2	1	1	1
2023	ES	705	3	1	2023	1	70501	1	70501	1	14	1	1	1	2414420	21	2414420	21	2414420	21	NA	-7	365520	21	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	62400	11	0	16	0	16	46540	21	0	16	3063880	25	365520	25	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	62400	11	0	16	0	16	587060	25	NA	96	3	1	2	1	NA	96	1	1	1	1	1	1	1	1	1	1	3	1	NA	96	1	1	3	1	1	1	6	1	1	1	NA	96	27568	1	NA	96	1	2	1	2414420	3210290	0	0	2	1	NA	96	NA	96	3	1	0	2	1	1	1	240	1	3	1	795871	1	1	1	1	1	2	1	1	1	3	1	2	1	4	1	1	1	1	1
2023	ES	706	2	1	2023	1	70601	1	70601	1	10	1	4	1	3720490	21	3720490	21	3720490	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	648000	11	0	11	31000	11	0	16	0	16	-196260	21	0	16	4676510	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	648000	11	0	15	31000	11	0	16	0	16	925020	25	3	1	3	1	2	1	NA	96	1	1	1	1	1	1	1	1	1	1	4	1	NA	96	1	1	4	1	2	1	3	1	1	1	NA	96	80010	1	74000	1	4	12	2.1	3720490	3784269	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	70	1	3	1	711780	1	2	1	2	1	2	1	2	1	3	1	2	1	4	1	1	1	1	1
2023	ES	707	3	1	2023	1	70701	1	70701	1	57	1	2	1	6595870	21	6571360	21	6571360	21	NA	-7	1828920	21	0	11	0	11	0	11	0	16	0	16	640910	21	0	11	0	11	52000	11	0	16	0	16	-329650	21	0	16	8298000	25	2150920	25	0	15	0	15	0	15	0	16	0	16	791250	25	0	11	0	15	52000	11	0	16	0	16	1650130	25	NA	96	3	1	2	1	NA	96	1	1	1	1	1	1	1	1	1	1	6	1	NA	96	1	1	3	1	1	1	3	1	1	1	NA	96	22941	1	NA	96	2	8	1.5	6595870	7302001	0	0	3	1	NA	96	4	1	2	1	0	2	1	1	1	120	1	4	1	706131	1	1	1	3	1	2	1	2	1	3	1	2	1	4	1	1	1	1	1
2023	ES	708	3	1	2023	1	70801	1	70801	1	64	1	2	1	4338870	21	4338870	21	1506290	11	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	64000	11	0	16	0	16	461920	21	0	16	5873980	25	0	15	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	64000	11	0	16	0	16	1471110	25	NA	96	3	1	2	1	NA	96	1	1	1	1	1	1	1	1	1	1	5	1	2	1	1	1	3	1	1	1	6	1	1	1	NA	96	39266	1	NA	96	2	7	1.5	4338870	5163263	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	112	1	4	1	824394	1	2	1	2	1	2	1	2	1	3	1	2	1	4	1	1	1	1	1
2023	ES	709	3	1	2023	1	70901	1	70901	1	12	1	1	1	670310	21	670310	21	670310	21	NA	-7	777830	21	0	11	0	11	0	11	0	16	0	16	0	21	0	11	0	11	1e+05	11	0	16	0	16	7520	21	0	16	951450	25	951450	25	0	15	0	15	0	15	0	16	0	16	0	25	0	11	0	15	1e+05	11	0	16	0	16	181140	25	NA	96	3	1	2	1	NA	96	1	1	1	1	1	1	1	1	1	1	5	1	NA	96	1	1	3	1	1	1	6	1	1	1	NA	96	16947	1	NA	96	1	2	1	670310	1611864	1	0	1	1	7	1	NA	96	2	1	1	2	1	2	1	115	1	3	1	941554	1	2	1	2	1	2	1	2	1	5	1	NA	96	4	1	1	1	2	1
2023	ES	710	3	1	2023	1	71001	1	71001	1	16	1	1	1	998700	21	998700	21	-37160	21	NA	-7	0	11	0	11	0	11	0	11	0	16	0	16	4840	21	0	11	0	11	42000	11	0	16	0	16	0	11	0	16	1041840	25	0	15	0	15	0	15	0	15	0	16	0	16	5980	25	0	11	0	15	42000	11	0	16	0	16	1140	25	NA	96	3	1	2	1	3	1	1	1	1	1	1	1	1	1	3	1	5	1	3	1	1	1	3	1	1	1	3	1	1	1	NA	96	12133	1	NA	96	1	3	1	998700	1706093	1	0	2	1	NA	96	NA	96	2	1	1	2	1	2	1	72	1	3	1	707394	1	2	1	2	1	2	1	2	1	3	1	1	1	4	1	2	1	2	1
2023	ES	711	3	1	2023	1	71101	1	71101	1	13	1	2	1	4399616	21	4399616	21	4399616	21	NA	-7	0	11	0	11	0	11	0	11	3e+05	16	3e+05	16	0	21	0	11	0	11	0	11	0	16	0	16	12043	11	0	16	5546180	25	0	15	0	15	0	15	0	15	3e+05	16	3e+05	16	0	25	0	11	0	15	0	11	0	16	0	16	1146563	25	3	1	3	1	2	1	3	1	1	1	1	1	2	1	1	1	2	1	3	1	NA	96	2	1	3	1	3	1	5	1	2	1	76000	1	95164	1	NA	96	2	8	1.5	4399616	4399616	0	0	2	1	NA	96	NA	96	2	1	0	2	1	2	1	85	1	3	1	0	1	1	1	1	1	2	1	2	1	3	1	2	1	4	1	1	1	1	1
