RB010	RB020	RB030	RB050	RB050_F	RB080	RB080_F	RB081	RB081_F	RB082	RB082_F	RB090	RB090_F	RB200	RB200_F	RB211	RB211_F	RB220	RB220_F	RB230	RB230_F	RB240	RB240_F	RB280	RB280_F	RB290	RB290_F	RL010	RL010_F	RL020	RL020_F	RL030	RL030_F	RL040	RL040_F	RL050	RL050_F	RL060	RL060_F	RL070	RL070_F	VRLOWJOB	VREU2020	VRMATSOCDEP	VRLOWJOB_N	VREU2030_N	AROPE	AROPE_N
2023	ES	70201	134551999	1	1951	1	71	1	71	1	1	1	1	1	3	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	70202	134551999	1	1978	1	44	1	44	1	1	1	1	1	2	1	70201	1	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	1	1	0	1	1	1	1
2023	ES	70301	181936389	1	1976	1	46	1	46	1	1	1	1	1	1	1	NA	96	NA	96	70302	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	70302	181936389	1	1978	1	44	1	45	1	2	1	1	1	1	1	NA	96	NA	96	70301	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	70303	181936389	1	2005	1	17	1	17	1	1	1	1	1	5	1	70301	1	70302	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	70304	181936389	1	2007	1	15	1	15	1	1	1	1	1	5	1	70301	1	70302	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	70305	181936389	1	2011	1	11	1	11	1	1	1	1	1	5	1	70301	1	70302	1	NA	96	1	1	1	1	NA	96	35	1	0	1	0	1	0	1	0	1	172552379	1	0	0	0	0	0	0	0
2023	ES	70401	269945577	1	1960	1	62	1	62	1	2	1	1	1	4	1	NA	96	NA	96	70402	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	1	1	0	1
2023	ES	70402	269945577	1	1941	1	81	1	81	1	1	1	1	1	3	1	NA	96	NA	96	70401	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	70501	81049586	1	1963	1	59	1	59	1	1	1	1	1	1	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	70601	154213251	1	1976	1	46	1	46	1	1	1	1	1	1	1	NA	96	NA	96	70602	1	3	1	3	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	70602	154213251	1	1975	1	47	1	47	1	2	1	1	1	1	1	NA	96	NA	96	70601	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	70603	154213251	1	2009	1	13	1	13	1	2	1	1	1	5	1	70601	1	70602	1	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	70604	154213251	1	2013	1	9	1	9	1	2	1	1	1	5	1	70601	1	70602	1	NA	96	1	1	1	1	NA	96	30	1	0	1	0	1	0	1	0	1	147971592	1	0	0	0	0	0	0	0
2023	ES	70701	56123511	1	1964	1	58	1	59	1	1	1	1	1	8	1	NA	96	NA	96	70702	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	70702	56123511	1	1964	1	58	1	59	1	1	1	1	1	1	1	NA	96	NA	96	70701	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
2023	ES	70801	172071535	1	1950	1	72	1	72	1	1	1	1	1	3	1	NA	96	NA	96	70802	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	70802	172071535	1	1952	1	70	1	71	1	2	1	1	1	3	1	NA	96	NA	96	70801	1	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	0	0	9	0	0	0
2023	ES	70901	197492289	1	1971	1	51	1	51	1	1	1	1	1	8	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	1	1	0	1	1	1	1
2023	ES	71001	226427207	1	1951	1	71	1	71	1	1	1	1	1	3	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	9	1	0	9	1	1	1
2023	ES	71101	103639150	1	1968	1	54	1	55	1	2	1	1	1	1	1	NA	96	NA	96	NA	96	1	1	1	1	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	NA	96	0	0	0	0	0	0	0
