Indicadors demogràfics
Comarques i Aran. 2020
Unitats: Percentatge.
Font: Idescat i Departament de Drets Socials.
Notes:
- (1) Indicador calculat sobre el total de llars.
- (2) Indicador calculat sobre la població total.
- (3) Indicador calculat sobre la població de 75 anys o més.
- Al 2017 va canviar el sistema de recollida de dades dels alumnes escolaritzats als 17 anys i, per tant, l'indicador Taxa d'escolarització als 17 anys no és comparable amb els anys anteriors.
- Les dades es presenten segons la distribució territorial vigent en el període consultat, que són les 41 comarques i Aran (d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i d'acord amb la Llei 1/2015, del règim especial d'Aran).
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=intpobr&n=8233&geo=com&t=202000
Codi;Nom;Taxa d'escolarització als 17 anys;Famílies monoparentals (1);Famílies amb tres fills o més (1);Població provinent de països en vies de desenvolupament (2);Població de 75 anys o més que viu sola (3)
01;Alt Camp;83,2;1,8;5,2;10,8;26,3
02;Alt Empordà;73,0;1,9;5,3;19,0;28,9
03;Alt Penedès;81,8;2,2;5,8;12,0;27,2
04;Alt Urgell;76,3;1,6;3,2;11,2;27,5
05;Alta Ribagorça;91,3;1,5;2,5;9,5;30,0
06;Anoia;79,3;2,4;6,2;10,4;26,9
39;Aran;66,3;1,2;2,6;13,4;24,2
07;Bages;82,5;2,0;5,1;12,6;26,7
08;Baix Camp;82,4;2,5;6,4;13,2;28,0
09;Baix Ebre;82,5;2,4;5,4;12,0;24,6
10;Baix Empordà;78,4;1,9;4,9;16,0;27,3
11;Baix Llobregat;83,1;2,5;4,9;12,5;24,3
12;Baix Penedès;75,4;2,4;5,3;14,4;26,1
13;Barcelonès;83,0;2,5;4,0;22,0;30,5
14;Berguedà;84,0;1,3;3,4;9,8;28,0
15;Cerdanya;79,3;1,6;3,3;14,1;28,9
16;Conca de Barberà;87,6;1,5;4,4;7,9;28,7
17;Garraf;74,6;2,5;4,4;12,1;27,9
18;Garrigues;82,1;1,3;3,7;7,9;27,4
19;Garrotxa;75,6;1,9;4,4;16,4;30,6
20;Gironès;75,5;2,6;7,3;19,6;27,9
21;Maresme;81,4;2,3;5,1;12,4;25,0
42;Moianès;79,8;1,9;4,8;9,7;22,4
22;Montsià;77,5;2,8;4,6;10,1;23,4
23;Noguera;81,6;1,9;5,3;12,2;26,5
24;Osona;82,8;1,8;5,8;16,0;27,8
25;Pallars Jussà;100,0;2,0;3,7;11,6;31,5
26;Pallars Sobirà;100,0;1,5;2,5;6,5;28,5
27;Pla d'Urgell;85,2;1,5;5,4;12,8;23,6
28;Pla de l'Estany;80,1;1,9;6,2;13,3;23,7
29;Priorat;89,6;1,8;4,4;7,3;30,0
30;Ribera d'Ebre;81,0;1,6;4,4;8,8;27,7
31;Ripollès;91,0;1,1;3,4;10,2;31,0
32;Segarra;91,4;2,1;6,8;13,8;25,2
33;Segrià;82,3;2,1;5,3;15,2;28,3
34;Selva;75,2;1,9;4,5;14,7;26,3
35;Solsonès;86,5;1,9;5,6;9,5;26,2
36;Tarragonès;78,8;2,3;5,7;16,2;28,2
37;Terra Alta;89,1;1,8;3,9;4,1;19,7
38;Urgell;91,3;2,0;6,1;13,2;27,7
40;Vallès Occidental;83,5;2,3;5,9;12,9;25,5
41;Vallès Oriental;81,1;2,4;5,2;11,7;24,0
;Catalunya;81,6;2,3;4,9;15,9;27,6

