any;municipi;concepte;estat;valor
2015;Abella de la Conca;població ocupada;;98,7
2015;Abella de la Conca;treballadors de baixa qualificació;..;null
2015;Abella de la Conca;població amb estudis baixos;..;null
2015;Abella de la Conca;població jove sense estudis postobligatoris;..;null
2015;Abella de la Conca;estrangers de països de renda baixa o mitjana;;86,3
2015;Abella de la Conca;renda mitjana per persona;;83,8
2015;Abrera;població ocupada;;113,8
2015;Abrera;treballadors de baixa qualificació;;95,7
2015;Abrera;població amb estudis baixos;..;null
2015;Abrera;població jove sense estudis postobligatoris;..;null
2015;Abrera;estrangers de països de renda baixa o mitjana;;90,0
2015;Abrera;renda mitjana per persona;;100,2
2015;Àger;població ocupada;;110,5
2015;Àger;treballadors de baixa qualificació;..;null
2015;Àger;població amb estudis baixos;..;null
2015;Àger;població jove sense estudis postobligatoris;..;null
2015;Àger;estrangers de països de renda baixa o mitjana;;95,3
2015;Àger;renda mitjana per persona;;95,4
2015;Agramunt;població ocupada;;110,2
2015;Agramunt;treballadors de baixa qualificació;;117,3
2015;Agramunt;població amb estudis baixos;..;null
2015;Agramunt;població jove sense estudis postobligatoris;..;null
2015;Agramunt;estrangers de països de renda baixa o mitjana;;112,0
2015;Agramunt;renda mitjana per persona;;92,4
2015;Aguilar de Segarra;població ocupada;;130,2
2015;Aguilar de Segarra;treballadors de baixa qualificació;..;null
2015;Aguilar de Segarra;població amb estudis baixos;..;null
2015;Aguilar de Segarra;població jove sense estudis postobligatoris;..;null
2015;Aguilar de Segarra;estrangers de països de renda baixa o mitjana;;80,0
2015;Aguilar de Segarra;renda mitjana per persona;;103,8
2015;Agullana;població ocupada;;105,4
2015;Agullana;treballadors de baixa qualificació;..;null
2015;Agullana;població amb estudis baixos;..;null
2015;Agullana;població jove sense estudis postobligatoris;..;null
2015;Agullana;estrangers de països de renda baixa o mitjana;;96,0
2015;Agullana;renda mitjana per persona;;102,0
2015;Aiguafreda;població ocupada;;109,9
2015;Aiguafreda;treballadors de baixa qualificació;;98,1
2015;Aiguafreda;població amb estudis baixos;..;null
2015;Aiguafreda;població jove sense estudis postobligatoris;..;null
2015;Aiguafreda;estrangers de països de renda baixa o mitjana;;86,9
2015;Aiguafreda;renda mitjana per persona;;102,5
2015;Aiguamúrcia;població ocupada;;90,8
2015;Aiguamúrcia;treballadors de baixa qualificació;..;null
