Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Tipo de dato;Periodo;Total
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;29/12/2021;17,87
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;26/12/2021;12,26
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;22/12/2021;22,10
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;19/12/2021;15,00
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;15/12/2021;24,76
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;12/12/2021;14,85
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;8/12/2021;14,16
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;1/12/2021;25,37
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;28/11/2021;14,30
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;24/11/2021;23,95
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;21/11/2021;14,98
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;17/11/2021;24,88
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;14/11/2021;15,04
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;10/11/2021;24,07
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;7/11/2021;15,20
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;3/11/2021;18,13
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;31/10/2021;15,64
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;27/10/2021;24,17
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;24/10/2021;15,27
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;20/10/2021;23,81
Total Nacional;Cataluña;Barcelona;;Porcentaje de población que sale del área;17/10/2021;15,09
