Indicadors relatius a la protecció social. 1/2
Comarques i Aran. 2021
Unitats: Percentatge.
Font: Idescat i Departament de Drets Socials.
Notes:
- (1) Indicador calculat sobre el total de llars.
- (2) Indicador calculat sobre la població total. A partir del 2018 la renda garantida de ciutadania substitueix a la renda mínima d'inserció.
- (3) Indicador calculat sobre el total d'aturats registrats.
- (4) Indicador calculat sobre la població total.
"- Les dades es presenten segons la distribució territorial vigent en el període consultat, que són les 41 comarques i Aran (d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i d'acord amb la Llei 1/2015, del règim especial d'Aran)."
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=intpobr&n=8235&geo=com
Codi,Nom,Mitjana de les pensions contributives de la població de 65 anys i més,Prestacions no contributives (4),Prestacions de desocupació (3),Renda garantida de ciutadania (2),Prestacions d'ajut al lloguer (1)
1,Alt Camp,"1153,1","0,9","44,9","1,9","2,6"
2,Alt Empordà,"1077,7","1,1","41,3","1,8","1,7"
3,Alt Penedès,"0,2","0,8","0,2","1,6","3,4"
4,Alt Urgell,"1025,7","1,3",000040,"0,8","3,8"
5,Alta Ribagorça,"1145,4","0,7","46,8","0,8","3,1"
6,Anoia,"1212,3","0,9","40,6",00002,"2,6"
39,Aran,"1201,3","0,5","43,7","0,2","0,2"
7,Bages,"1257,1","0,8","39,6","3,1","3,3"
8,Baix Camp,"1208,3","1,4","41,1","1,7","3,3"
9,Baix Ebre,"1054,7","1,7","40,3","1,5","0,2"
10,Baix Empordà,"1084,7",00001,"45,6","1,5","2,8"
11,Baix Llobregat,"1313,6","0,9","45,6","0,9","1,8"
12,Baix Penedès,"0,2","0,2","40,9","2,4","3,5"
13,Barcelonès,"1373,8","0,2","40,6","0,2","1,3"
14,Berguedà,"1216,5","0,7","47,5","1,8","2,8"
15,Cerdanya,"1044,9","0,6","47,8","0,5","2,7"
16,Conca de Barberà,"1084,3","0,9",000049,"0,9","2,6"
17,Garraf,"1303,1","0,9",000042,"1,6","2,3"
18,Garrigues,"945,6","1,4","43,5","1,4","1,4"
19,Garrotxa,"1175,8","0,6","51,6","0,7","2,8"
20,Gironès,00001320,"0,9","0,2","0,2","2,4"
21,Maresme,"1231,3","0,9","41,4","1,5","2,7"
42,Moianès,"1134,5","0,6","46,9","0,9","3,1"
22,Montsià,00001000,"1,8","39,3","1,9","2,5"
23,Noguera,0000989,"1,4","43,9","2,4","2,8"
24,Osona,"1211,6","0,6","46,8","1,5",00003
25,Pallars Jussà,"1121,7",00001,"45,5","1,1","3,4"
26,Pallars Sobirà,"1058,3","0,7","0,2","0,7","5,6"
27,Pla d'Urgell,"1023,5","1,4","41,7","1,5","2,3"
28,Pla de l'Estany,"1177,3","0,6","49,4","0,6","2,4"
29,Priorat,"964,9","0,2","47,8","0,9","2,9"
30,Ribera d'Ebre,"1173,3","1,5",000043,"1,6","1,5"
31,Ripollès,00001208,"0,5","0,2","1,1","2,3"
32,Segarra,"1068,1","0,9","44,9","0,7","2,8"
33,Segrià,"1165,4","1,3","37,4","2,3","2,7"
34,Selva,"1145,7","0,9","0,2","1,8","3,1"
35,Solsonès,00001058,"0,2","43,7","1,5","0,2"
36,Tarragonès,"1337,5","1,1","40,7","1,7","3,1"
37,Terra Alta,"896,1","2,3","50,4",00001,00001
38,Urgell,"1071,8","0,2","40,8","1,5","3,1"
40,Vallès Occidental,"1280,4","0,8","42,1","1,8","1,7"
41,Vallès Oriental,"1285,9","0,7","44,8","1,3",00002
,Catalunya,"1277,8",00001,"42,1","1,5","2,1"
,,,,,,

