Indicadors relatius al mercat de treball
Catalunya
Unitats: Percentatge.
Font: Idescat i Departament de Drets Socials.
(1) Aturats registrats sobre la població de 16 a 64 anys.
(2) Aturats registrats fa un any o més sobre la població de 16 a 64 anys.
(3) Aturats registrats fa 2 anys o més sobre la població de 16 a 64 anys.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=intpobr&n=8230
;Població en situació d'atur (1);Població en situació d'atur de llarga durada (2);Població en situació d'atur de molt llarga durada (3)
2021;8,6;4,9;2,4
2020;9,1;3,4;1,9
2019;7,6;2,9;1,8
2018;7,9;3,1;2,0
2017;8,5;3,5;2,3
2016;9,6;4,2;2,7
2015;10,9;4,8;3,1
2014;12,1;5,5;3,2
2013;12,9;5,4;2,8
2012;12,7;4,7;2,3

