Indicadors relatius al mercat de treball
Comarques i Aran. 2021
Unitats: Percentatge.
Font: Idescat i Departament de Drets Socials.
Nota: Les dades es presenten segons la distribució territorial vigent en el període consultat, que són les 41 comarques i Aran (d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i d'acord amb la Llei 1/2015, del règim especial d'Aran).
(1) Aturats registrats sobre la població de 16 a 64 anys.
(2) Aturats registrats fa un any o més sobre la població de 16 a 64 anys.
(3) Aturats registrats fa 2 anys o més sobre la població de 16 a 64 anys.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=intpobr&n=8230&geo=com
Codi;Nom;Població en situació d'atur (1);Població en situació d'atur de llarga durada (2);Població en situació d'atur de molt llarga durada (3)
01;Alt Camp;10,0;5,6;3,0
02;Alt Empordà;9,0;4,8;2,3
03;Alt Penedès;8,2;4,6;2,2
04;Alt Urgell;7,2;3,8;1,7
05;Alta Ribagorça;5,5;1,8;0,5
06;Anoia;10,2;5,9;3,2
39;Aran;5,5;1,3;0,4
07;Bages;9,4;5,6;3,2
08;Baix Camp;10,4;5,7;2,8
09;Baix Ebre;9,5;5,2;2,8
10;Baix Empordà;7,8;4,1;2,0
11;Baix Llobregat;8,0;4,6;2,2
12;Baix Penedès;12,2;6,9;3,6
13;Barcelonès;8,3;4,7;2,2
14;Berguedà;8,2;4,8;2,8
15;Cerdanya;4,8;1,9;0,7
16;Conca de Barberà;7,1;3,6;1,8
17;Garraf;9,1;5,3;2,7
18;Garrigues;7,0;3,8;2,0
19;Garrotxa;6,2;3,2;1,6
20;Gironès;8,2;4,4;2,2
21;Maresme;9,0;5,4;2,8
42;Moianès;6,5;3,4;1,6
22;Montsià;9,8;5,3;2,9
23;Noguera;8,5;4,4;2,3
24;Osona;7,6;4,3;2,3
25;Pallars Jussà;8,1;4,0;2,1
26;Pallars Sobirà;6,3;2,3;0,9
27;Pla d'Urgell;7,4;3,5;1,8
28;Pla de l'Estany;5,7;2,9;1,4
29;Priorat;7,5;4,2;2,4
30;Ribera d'Ebre;8,8;4,4;2,4
31;Ripollès;6,6;3,4;1,7
32;Segarra;5,8;2,9;1,5
33;Segrià;9,2;4,5;2,3
34;Selva;9,3;5,3;2,6
35;Solsonès;6,5;3,4;1,7
36;Tarragonès;9,6;5,1;2,4
37;Terra Alta;6,5;3,7;2,2
38;Urgell;7,9;4,2;2,2
40;Vallès Occidental;8,9;5,3;2,8
41;Vallès Oriental;8,6;5,0;2,7
;Catalunya;8,6;4,9;2,4

