Indicadors relatius al mercat de treball
Comarques i Aran. 2020
Unitats: Percentatge.
Font: Idescat i Departament de Drets Socials.
Nota: Les dades es presenten segons la distribució territorial vigent en el període consultat, que són les 41 comarques i Aran (d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i d'acord amb la Llei 1/2015, del règim especial d'Aran).
(1) Aturats registrats sobre la població de 16 a 64 anys.
(2) Aturats registrats fa un any o més sobre la població de 16 a 64 anys.
(3) Aturats registrats fa 2 anys o més sobre la població de 16 a 64 anys.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=intpobr&n=8230&geo=com&t=202000
Codi;Nom;Població en situació d'atur (1);Població en situació d'atur de llarga durada (2);Població en situació d'atur de molt llarga durada (3)
01;Alt Camp;10,7;4,2;2,3
02;Alt Empordà;9,4;3,2;1,8
03;Alt Penedès;8,7;3,1;1,7
04;Alt Urgell;7,4;2,5;1,3
05;Alta Ribagorça;5,4;0,7;0,4
06;Anoia;10,7;4,3;2,5
39;Aran;6,0;0,7;0,3
07;Bages;9,8;4,2;2,6
08;Baix Camp;11,2;3,9;2,1
09;Baix Ebre;10,1;3,8;2,2
10;Baix Empordà;8,4;2,9;1,6
11;Baix Llobregat;8,6;3,1;1,7
12;Baix Penedès;12,7;4,9;2,8
13;Barcelonès;8,8;3,1;1,8
14;Berguedà;8,5;3,7;2,3
15;Cerdanya;4,8;1,1;0,5
16;Conca de Barberà;7,6;2,5;1,4
17;Garraf;9,7;3,7;2,1
18;Garrigues;6,8;2,6;1,5
19;Garrotxa;6,8;2,3;1,3
20;Gironès;8,7;3,1;1,7
21;Maresme;9,6;3,9;2,3
42;Moianès;6,7;2,2;1,1
22;Montsià;10,0;3,8;2,2
23;Noguera;8,4;3,2;1,9
24;Osona;8,3;3,2;1,9
25;Pallars Jussà;8,3;3,0;1,6
26;Pallars Sobirà;6,9;1,3;0,5
27;Pla d'Urgell;7,3;2,5;1,4
28;Pla de l'Estany;6,3;2,0;1,1
29;Priorat;7,8;3,2;1,9
30;Ribera d'Ebre;8,6;3,1;1,7
31;Ripollès;7,0;2,4;1,4
32;Segarra;5,6;2,0;1,1
33;Segrià;9,3;3,2;1,8
34;Selva;9,9;3,4;2,0
35;Solsonès;6,5;2,3;1,3
36;Tarragonès;10,3;3,4;1,9
37;Terra Alta;6,6;2,8;1,8
38;Urgell;8,5;3,1;1,9
40;Vallès Occidental;9,4;3,8;2,3
41;Vallès Oriental;9,2;3,7;2,2
;Catalunya;9,1;3,4;1,9

