Indicadors demogràfics
Comarques i Aran. 2021
Unitats: Percentatge.
Font: Idescat i Departament de Drets Socials.
Notes:
- (1) Indicador calculat sobre el total de llars.
- (2) Indicador calculat sobre la població total.
- (3) Indicador calculat sobre la població de 75 anys o més.
- Al 2017 va canviar el sistema de recollida de dades dels alumnes escolaritzats als 17 anys i, per tant, l'indicador Taxa d'escolarització als 17 anys no és comparable amb els anys anteriors.
- Les dades es presenten segons la distribució territorial vigent en el període consultat, que són les 41 comarques i Aran (d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i d'acord amb la Llei 1/2015, del règim especial d'Aran).
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=intpobr&n=8233&geo=com
Codi;Nom;Taxa d'escolarització als 17 anys;Famílies monoparentals (1);Famílies amb tres fills o més (1);Població provinent de països en vies de desenvolupament (2);Població de 75 anys o més que viu sola (3)
01;Alt Camp;79,3;1,6;5,1;11,5;28,5
02;Alt Empordà;75,0;1,7;5,2;19,4;28,9
03;Alt Penedès;83,1;2,0;5,5;12,3;27,2
04;Alt Urgell;77,5;1,4;3,2;11,8;27,7
05;Alta Ribagorça;82,4;1,4;2,4;9,7;31,9
06;Anoia;79,3;2,0;6,0;10,7;27,5
39;Aran;77,4;0,9;2,5;13,8;25,6
07;Bages;85,8;1,7;5,0;13,0;27,6
08;Baix Camp;83,2;2,2;6,2;13,7;28,3
09;Baix Ebre;81,5;2,0;5,4;11,0;24,4
10;Baix Empordà;78,1;1,6;4,7;16,3;27,3
11;Baix Llobregat;84,1;2,1;4,7;12,8;24,6
12;Baix Penedès;73,6;2,1;5,3;14,8;26,7
13;Barcelonès;82,9;2,2;3,8;22,7;30,8
14;Berguedà;84,0;1,1;3,3;10,5;28,8
15;Cerdanya;80,4;1,4;3,2;14,3;30,1
16;Conca de Barberà;88,9;1,3;4,5;8,2;28,9
17;Garraf;76,9;2,0;4,1;12,5;28,0
18;Garrigues;86,8;1,2;3,7;8,4;28,3
19;Garrotxa;76,6;1,6;4,2;17,0;30,7
20;Gironès;76,8;2,4;7,1;20,0;28,0
21;Maresme;82,1;2,0;4,9;12,6;25,4
42;Moianès;88,7;1,8;4,3;10,1;23,6
22;Montsià;78,0;2,4;4,5;10,5;23,6
23;Noguera;81,3;1,7;5,1;12,7;26,9
24;Osona;86,5;1,6;5,6;16,5;28,5
25;Pallars Jussà;90,7;1,8;3,6;11,9;33,5
26;Pallars Sobirà;88,7;1,4;2,6;6,9;30,2
27;Pla d'Urgell;85,8;1,4;5,3;13,5;24,6
28;Pla de l'Estany;88,0;1,6;6,1;13,3;24,2
29;Priorat;84,1;1,7;4,4;7,7;30,2
30;Ribera d'Ebre;84,8;1,3;4,3;9,3;28,8
31;Ripollès;81,3;1,0;3,3;10,5;31,3
32;Segarra;92,2;1,7;6,9;14,6;25,8
33;Segrià;82,3;1,7;5,1;15,9;28,4
34;Selva;75,6;1,7;4,5;15,0;27,1
35;Solsonès;87,8;1,7;5,6;10,2;26,4
36;Tarragonès;80,6;1,9;5,7;13,3;28,7
37;Terra Alta;82,4;1,7;4,1;4,9;20,2
38;Urgell;89,6;1,8;6,0;13,8;28,6
40;Vallès Occidental;83,7;1,9;5,7;13,3;25,9
41;Vallès Oriental;84,2;2,1;5,0;11,9;24,6
;Catalunya;82,3;2,0;4,8;16,2;28,0

