Indicadors relatius a la protecció social. 1/2
Comarques i Aran. 2020
Unitats: Percentatge.
Font: Idescat i Departament de Drets Socials.
Notes:
- (1) Indicador calculat sobre el total de llars.
- (2) Indicador calculat sobre la població total. A partir del 2018 la renda garantida de ciutadania substitueix a la renda mínima d'inserció.
- (3) Indicador calculat sobre el total d'aturats registrats.
- (4) Indicador calculat sobre la població total.
- Les dades es presenten segons la distribució territorial vigent en el període consultat, que són les 41 comarques i Aran (d'acord amb la Llei 4/2015, de creació de la comarca del Moianès, que també modifica territorialment les comarques del Bages, Osona i el Vallès Oriental, i d'acord amb la Llei 1/2015, del règim especial d'Aran).
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=intpobr&n=8235&geo=com&t=202000
Codi;Nom;Mitjana de les pensions contributives de la població de 65 anys i més;Prestacions no contributives (4);Prestacions de desocupació (3);Renda garantida de ciutadania (2);Prestacions d'ajut al lloguer (1)
01;Alt Camp;1121,7;1,0;46,6;1,3;2,5
02;Alt Empordà;1051,5;1,1;44,7;1,5;1,6
03;Alt Penedès;1216,5;0,8;46,0;1,3;3,1
04;Alt Urgell;1002,0;1,4;43,0;0,6;3,5
05;Alta Ribagorça;1116,7;0,7;54,3;0,6;2,6
06;Anoia;1186,2;1,0;42,2;1,4;2,2
39;Aran;1175,8;0,5;54,0;0,1;1,9
07;Bages;1225,8;0,8;41,6;2,5;3,1
08;Baix Camp;1179,4;1,4;44,4;1,2;2,6
09;Baix Ebre;1028,2;1,8;42,9;1,2;3,2
10;Baix Empordà;1057,9;1,1;47,3;1,1;2,5
11;Baix Llobregat;1284,2;0,9;47,5;0,6;1,6
12;Baix Penedès;1165,0;1,2;41,4;1,8;3,3
13;Barcelonès;1341,5;1,3;43,5;0,9;1,1
14;Berguedà;1186,2;0,7;48,4;1,4;2,4
15;Cerdanya;1009,4;0,6;54,0;0,4;2,5
16;Conca de Barberà;1051,0;1,0;50,2;0,5;2,8
17;Garraf;1271,3;0,9;44,9;1,1;2,2
18;Garrigues;923,1;1,5;45,5;1,2;1,3
19;Garrotxa;1144,1;0,6;52,7;0,6;2,5
20;Gironès;1287,8;0,9;43,6;1,9;2,2
21;Maresme;1200,4;1,0;43,7;1,2;2,5
42;Moianès;1102,8;0,6;46,7;0,7;2,3
22;Montsià;979,6;1,9;42,0;1,4;2,6
23;Noguera;963,9;1,4;44,3;2,0;2,7
24;Osona;1181,0;0,7;47,4;1,2;3,2
25;Pallars Jussà;1095,6;1,0;49,1;0,7;3,4
26;Pallars Sobirà;1033,1;0,7;56,7;0,4;5,1
27;Pla d'Urgell;991,4;1,5;43,8;1,3;2,0
28;Pla de l'Estany;1149,1;0,6;52,1;0,4;2,4
29;Priorat;942,8;1,3;51,1;0,5;2,9
30;Ribera d'Ebre;1140,9;1,6;42,6;1,1;1,7
31;Ripollès;1179,6;0,5;53,1;0,9;2,2
32;Segarra;1032,9;0,9;48,4;0,6;2,3
33;Segrià;1132,9;1,4;40,3;2,0;2,5
34;Selva;1117,4;1,0;45,9;1,2;2,6
35;Solsonès;1025,1;1,3;48,5;1,2;5,0
36;Tarragonès;1304,4;1,1;44,1;1,1;2,9
37;Terra Alta;876,4;2,4;50,7;0,7;1,1
38;Urgell;1042,5;1,3;42,6;1,3;2,4
40;Vallès Occidental;1248,9;0,8;44,2;1,4;1,5
41;Vallès Oriental;1254,3;0,8;46,8;1,0;1,8
;Catalunya;1247,2;1,1;44,5;1,1;1,9

