trimestre,Catalunya,sexe,edat,concepte,estat,valor
T4/2020,Catalunya,homes,de 0 a 11 anys,dosis administrades,..,null
T4/2020,Catalunya,homes,de 0 a 11 anys,persones vacunades amb primera dosi,..,null
T4/2020,Catalunya,homes,de 0 a 11 anys,persones vacunades amb segona dosi,..,null
T4/2020,Catalunya,homes,de 0 a 11 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,de 0 a 11 anys,dosis administrades per cada 100 persones,..,null
T4/2020,Catalunya,homes,de 0 a 11 anys,població vacunada amb primera dosi (%),..,null
T4/2020,Catalunya,homes,de 0 a 11 anys,població vacunada amb segona dosi (%),..,null
T4/2020,Catalunya,homes,de 0 a 11 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,de 12 a 14 anys,dosis administrades,..,null
T4/2020,Catalunya,homes,de 12 a 14 anys,persones vacunades amb primera dosi,..,null
T4/2020,Catalunya,homes,de 12 a 14 anys,persones vacunades amb segona dosi,..,null
T4/2020,Catalunya,homes,de 12 a 14 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,de 12 a 14 anys,dosis administrades per cada 100 persones,..,null
T4/2020,Catalunya,homes,de 12 a 14 anys,població vacunada amb primera dosi (%),..,null
T4/2020,Catalunya,homes,de 12 a 14 anys,població vacunada amb segona dosi (%),..,null
T4/2020,Catalunya,homes,de 12 a 14 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,de 15 a 19 anys,dosis administrades,,3
T4/2020,Catalunya,homes,de 15 a 19 anys,persones vacunades amb primera dosi,,3
T4/2020,Catalunya,homes,de 15 a 19 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,homes,de 15 a 19 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,de 15 a 19 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,homes,de 15 a 19 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,homes,de 15 a 19 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,homes,de 15 a 19 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,de 20 a 24 anys,dosis administrades,,21
T4/2020,Catalunya,homes,de 20 a 24 anys,persones vacunades amb primera dosi,,21
T4/2020,Catalunya,homes,de 20 a 24 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,homes,de 20 a 24 anys,persones vacunades amb dosi addicional,,0
